"ID","Description","NES","pvalue","qvalue","size","leadingEdge"
"Epithelial mesenchymal transition","Epithelial mesenchymal transition","2.8280227901892858","0.0000000000000002788025039274453","0.00000000000001310371768458993","121","DAB2,LAMA2,CAP2,CALD1,ITGA5,FERMT2,MYLK,COL5A3,TGM2,LAMC1,FLNA,VIM,ABI3BP,CXCL12,TPM2,PLOD2,MYL9,ACTA2,DST,COL6A3,NID2,SGCD,ELN,PDGFRB,WIPF1,NNMT,MMP14,PDLIM4,DPYSL3,TPM1,GREM1,FGF2,COL16A1,TAGLN,COL6A2,ITGB1,THY1,RHOB,CDH11,LGALS1,COL1A2,COL5A1,SGCB,COL4A1,COL4A2,TPM4,COL12A1,ITGAV,DCN,TIMP3,SERPINH1,MGP,FN1,LUM,MATN2,POSTN,SPARC,COL1A1,FSTL1,FAP,LOXL2,SNTB1,VCAN,COL3A1,MFAP5,BGN,BASP1,VCAM1,IGFBP3,NTM,FBN1,MMP2,PLOD1"
"Oxidative phosphorylation","Oxidative phosphorylation","-2.5049147958919873","0.0000000000000077572269929524340","0.00000000000018229483433438221","170","IDH1,ATP5ME,FH,AFG3L2,ATP5PO,HSPA9,FDX1,ATP5MG,ATP5PD,MRPS12,COX5B,COX5A,PRDX3,TIMM9,OAT,UQCRQ,SDHB,ATP5F1A,ACADM,DLST,GOT2,UQCRB,BDH2,MRPL34,SUCLG1,ATP5F1B,MDH2,ACADSB,SDHA,COX7B,ISCU,IMMT,ATP5PF,UQCRC1,ATP5PB,OPA1,ATP5F1C,TIMM50,IDH2,HTRA2,TOMM22,TIMM17A,TOMM70,RHOT2,MRPS22,ECH1,ECHS1,MGST3,COX7A2L,COX6A1,ATP1B1,VDAC1,MTX2,COX4I1,ATP5F1E,NDUFB5,ATP5F1D,SUCLA2,HADHA,HADHB,NDUFB1,NNT,MRPS11,PDHA1,LRPPRC,COX6C,DLD,HCCS,GLUD1,PDHB,GPI,IDH3A,MRPS15,SLC25A12,UQCRC2,SLC25A3,RHOT1,COX6B1,ACO2,VDAC2,ETFA,IDH3B,HSD17B10"
"Myogenesis","Myogenesis","2.5129549724637514","0.0000000002443258744371614454165","0.00000000382777203284886219680","77","DTNA,LAMA2,MYLK,CD36,FHL1,MYH11,SORBS1,MYO1C,TPM2,DMD,PFKM,PDLIM7,LSP1,COL6A3,SGCD,SMTN,DES,GNAO1,ACTA1,CRYAB,LDB3,ITGA7,PYGM,FGF2,TAGLN,COL6A2,ITGB1,SORBS3,NCAM1,GSN,PRNP,SVIL,AKT2,COL4A2,SOD3,IGFBP7,CNN3,HSPB8,PTGIS,COL15A1,CDH13,SPARC,COL1A1"
"Coagulation","Coagulation","2.4887787903102150","0.0000000017715164614809139081689","0.00000002081531842240073955836","73","VWF,F12,PECAM1,C3,CRIP2,FGA,APOC1,F9,SERPING1,PLEK,APOC3,APOA1,PLG,KLKB1,F2,ITIH1,HRG,MMP14,CSRP1,CPN1,C8G,A2M,C1QA,C1S,GSN,C8A,CTSH,CFH,C8B,TIMP3,MMP9,PROS1,FN1,SPARC,SERPINA1,CPB2"
"Heme metabolism","Heme metabolism","2.3476522710369707","0.0000000238463595115431708168965","0.00000022415577940850581031104","74","SPTB,SPTA1,ANK1,EPB42,GYPA,SLC4A1,SNCA,HBD,DMTN,FBXO7,ALAD,EPB41,C3,UBAC1,BCAM,TNS1,PICALM,RNF123,BLVRB,ADD1,BPGM,MPP1,CLIC2"
"Complement","Complement","2.2634388241157715","0.0000000363065784934253518694855","0.00000028440153153183189761076","98","DOCK10,WAS,C3,CD36,APOC1,F5,CPM,SERPING1,PLEK,GNG2,PLG,KLKB1,F2,ITIH1,DOCK9,MMP14,CSRP1,GNB4,C4BPB,LIPA,C1QA,C1S,CTSH,LCP2,COL4A2,CFH,S100A9,EHD1,FCN1,FN1,RBSN,CDH13,CTSL,SERPINA1,MMP12,S100A12,ATOX1,C1R,VCPIP1,GNAI3,C1QC,USP15,C2,APOA4,CLU,CASP7,LRP1,LAP3,ANG,PFN1,CASP10,CP,LGMN,C9,GMFB,TIMP2,ITGAM"
"Apical junction","Apical junction","2.1351674735368591","0.0000004354828384082304444772937","0.00000292395620074097575829966","102","MPZL1,VWF,PARVA,EVL,PECAM1,VCL,YWHAH,RSU1,MSN,MYL9,VAV2,ZYX,CD34,FYB1,ACTA1,ACTN1,NEXN,COL16A1,FLNC,PTPRC,ITGB1,THY1,CDH11,NEGR1,SORBS3,CADM3,ARPC2,MAP3K20,RRAS,TIAL1,CD276,AKT2,ACTG2,ACTB,THBS3,MMP9,ARHGEF6,CNN2,IKBKG,MYH10,GRB7,WASL,JAM3,VASP,VCAN,RAC2,CTNND1,ICAM1,CALB2"
"MYC targets V1","MYC targets V1","-1.8289914952229582","0.0000047056388749777238646328746","0.00002764562839049412675180607","182","PSMC6,PSMD1,PABPC4,PSMC4,C1QBP,PHB1,PSMD3,PSMD7,PSMA1,PSMA7,COX5A,TUFM,PRDX3,PSMD8,PSMA6,BUB3,SNRPG,GOT2,AIMP2,CCT5,PSMD14,EPRS1,HSPD1,CCT2,CLNS1A,TOMM70,SSB,SRSF3,SNRPD2,CAD,VDAC1,ERH,YWHAE,RUVBL2,MRPS18B,GSPT1,IMPDH2,RPS2,DDX18,PPM1G,MRPL23,CCT3,PRPS2,RRP9,FBL,PSMB3,NPM1,PA2G4,SLC25A3,EIF1AX,PSMA4,RNPS1,XPO1,NOLC1,G3BP1,HSPE1,CCT7,RPL14,SYNCRIP,PCBP1,NOP56,RPL18,NDUFAB1,PRPF31,EIF2S2,SNRPD3,NHP2,SRPK1,RPLP0,ACP1,SF3A1,RPS5,HNRNPR,NME1,EIF3J,RPL6,TRA2B,PSMB2,SERBP1,RAN,RPS6,HNRNPU,PHB2,PWP1,DUT,RPL34,CTPS1,LSM7,LSM2,HDAC2,RSL1D1,SNRPA1,SRSF2,DHX15,PTGES3,HNRNPC,SNRPA,EIF4A1,KPNA2,CYC1,POLE3,UBA2,DEK"
"KRAS signaling up","KRAS signaling up","2.0073528171595010","0.0001036009186999553273803020836","0.00054102701987754451152384805","54","PPBP,DNMBP,PECAM1,PLVAP,ENG,DOCK2,SERPINA3,AKAP12,EPB41L3,LCP1,PIGR,BPGM,GUCY1A1,F13A1,SPON1,AKT2,CFH,MMP9,PTBP2,SPARCL1,ABCB1"
"UV response down","UV response down","1.8213676159167416","0.0009266659260764514372335498571","0.00435532985255932154899927156","59","RBPMS,SDC2,DAB2,CAV1,CAP2,ATP2B4,LPAR1,LAMC1,KCNMA1,VAV2,PDGFRB,MAP1B,COL1A2,PRKAR2B,ATRX,COL1A1,NIPBL,PDLIM5,COL3A1,MGMT,NEK7"
