"variable","hr","hr_lower","hr_upper","p_value","cindex"
"ATF3 (RNAseq, BRCA)",NA,NA,NA,NA,NA
"ATF3 (RNAseq, CCRCC)","0.9271532695175906","0.6721625592265160","1.278876922520571","0.64484682072053845","0.5822050290135397"
"ATF3 (RNAseq, COAD)",NA,NA,NA,NA,NA
"ATF3 (RNAseq, GBM)","1.2570514329343132","0.9684267355159528","1.631696283354189","0.08563159602485744","0.5364559298569451"
"ATF3 (RNAseq, HNSCC)","0.9409812000034932","0.6508998850432308","1.360340720756473","0.74632228996956229","0.5157509157509157"
"ATF3 (RNAseq, LUAD)","1.4107459412752952","1.0206983264141956","1.949845570744182","0.03715683291878120","0.6291108404384896"
"ATF3 (RNAseq, LUSC)","0.6579842644132946","0.4122388235163620","1.050224451259915","0.07933586860066956","0.6238425925925926"
"ATF3 (RNAseq, OV)",NA,NA,NA,NA,NA
"ATF3 (RNAseq, PDAC)","1.1559738511488580","0.9038709375235985","1.478391979502089","0.24819086399846796","0.5274703557312252"
"ATF3 (RNAseq, UCEC)","1.1619717613220859","0.7947904195645082","1.698785416726283","0.43851812286771436","0.5604142692750288"
