"x","gene","r","pvalue","p_adjusted","var_name","Gene","correlation"
"var","AARS1","-0.023586151181107455","0.819568022059153911129670","0.97722480594575955593","ATF3 (RNAseq, COAD)","AARS1","-0.023586151181107455"
"var","AGK","0.033110008125435977","0.748779803377494723726215","0.97722480594575955593","ATF3 (RNAseq, COAD)","AGK","0.033110008125435977"
"var","ALAD","0.247170439231750028","0.015189064913860329808504","0.95642229204559459088","ATF3 (RNAseq, COAD)","ALAD","0.247170439231750028"
"var","ALDH1B1","0.165638142943383831","0.106784020000524768057026","0.95642229204559459088","ATF3 (RNAseq, COAD)","ALDH1B1","0.165638142943383831"
"var","AMACR","0.008386118133424462","0.935368859537736740961122","0.99219085502080273109","ATF3 (RNAseq, COAD)","AMACR","0.008386118133424462"
"var","ANK1","0.351305804089711904","0.000448863393732292349867","0.54918436223145972175","ATF3 (RNAseq, COAD)","ANK1","0.351305804089711904"
"var","ANXA6","0.164416758162241411","0.109430019410919371347646","0.95642229204559459088","ATF3 (RNAseq, COAD)","ANXA6","0.164416758162241411"
"var","ANXA7","0.174585507331313422","0.088893034291203293362216","0.95642229204559459088","ATF3 (RNAseq, COAD)","ANXA7","0.174585507331313422"
"var","APOB","0.258097329549718646","0.011121051149903098467786","0.95642229204559459088","ATF3 (RNAseq, COAD)","APOB","0.258097329549718646"
"var","APOL1","0.285517962151098481","0.004805409617291939855521","0.95642229204559459088","ATF3 (RNAseq, COAD)","APOL1","0.285517962151098481"
"var","ARHGEF17","0.267751414639042506","0.008354627210935203218689","0.95642229204559459088","ATF3 (RNAseq, COAD)","ARHGEF17","0.267751414639042506"
"var","ARIH1","0.009507421023791649","0.926749585781976192855325","0.99219085502080273109","ATF3 (RNAseq, COAD)","ARIH1","0.009507421023791649"
"var","ASNS","-0.021408878265158981","0.835979222405053068456482","0.97731851173968331548","ATF3 (RNAseq, COAD)","ASNS","-0.021408878265158981"
"var","ATOX1","0.090174110623528009","0.382265114084764823232376","0.96174058171875942413","ATF3 (RNAseq, COAD)","ATOX1","0.090174110623528009"
"var","ATP1B3","0.018255752650234696","0.859869167061814820840482","0.97781602725365779349","ATF3 (RNAseq, COAD)","ATP1B3","0.018255752650234696"
"var","ATP6AP1","0.035799989256181060","0.729130051834256276421797","0.97722480594575955593","ATF3 (RNAseq, COAD)","ATP6AP1","0.035799989256181060"
"var","C4B","0.250591139692909914","0.013795459021500623697509","0.95642229204559459088","ATF3 (RNAseq, COAD)","C4B","0.250591139692909914"
"var","CAB39L","0.039926702514201357","0.699326534333389204789455","0.97160729964346470577","ATF3 (RNAseq, COAD)","CAB39L","0.039926702514201357"
"var","CALU","0.008852391707646087","0.931783727156420216175547","0.99219085502080273109","ATF3 (RNAseq, COAD)","CALU","0.008852391707646087"
"var","CARS1","0.039513161224284131","0.702293583078424599186462","0.97160729964346470577","ATF3 (RNAseq, COAD)","CARS1","0.039513161224284131"
"var","CCL21","0.250142723517704280","0.013971574672788238807852","0.95642229204559459088","ATF3 (RNAseq, COAD)","CCL21","0.250142723517704280"
"var","CCS","0.290812806308465066","0.004047356791248284124674","0.94322686363662389120","ATF3 (RNAseq, COAD)","CCS","0.290812806308465066"
"var","CD109","0.105783722847737349","0.305000549147253718906825","0.96174058171875942413","ATF3 (RNAseq, COAD)","CD109","0.105783722847737349"
"var","CDX2","0.020518437807258889","0.842711639692459213435427","0.97733653548904364516","ATF3 (RNAseq, COAD)","CDX2","0.020518437807258889"
"var","CES1","0.112802003432591225","0.273846109688569649964762","0.96174058171875942413","ATF3 (RNAseq, COAD)","CES1","0.112802003432591225"
"var","CLPTM1L","0.042730557771736739","0.679330607702569255756941","0.96829108350527093307","ATF3 (RNAseq, COAD)","CLPTM1L","0.042730557771736739"
"var","COL16A1","0.145154958431124914","0.158221799360732856554179","0.95642229204559459088","ATF3 (RNAseq, COAD)","COL16A1","0.145154958431124914"
"var","COPS7A","0.137783749013717705","0.180665151669961027147693","0.95642229204559459088","ATF3 (RNAseq, COAD)","COPS7A","0.137783749013717705"
"var","COQ9","-0.006227894241331139","0.951978914653390351219286","0.99219085502080273109","ATF3 (RNAseq, COAD)","COQ9","-0.006227894241331139"
"var","CRBN","-0.007572903468673249","0.941624633035484381871072","0.99219085502080273109","ATF3 (RNAseq, COAD)","CRBN","-0.007572903468673249"
"var","CTPS1","-0.049796496450659124","0.629939635146069099036481","0.96829108350527093307","ATF3 (RNAseq, COAD)","CTPS1","-0.049796496450659124"
"var","CUL4B","0.254003886523417877","0.012517164845602923514689","0.95642229204559459088","ATF3 (RNAseq, COAD)","CUL4B","0.254003886523417877"
"var","DAB2","0.241100998505761721","0.017963260518264606568906","0.95642229204559459088","ATF3 (RNAseq, COAD)","DAB2","0.241100998505761721"
"var","DCLK1","0.298816334555159102","0.003103262662914073755777","0.89337455719420455491","ATF3 (RNAseq, COAD)","DCLK1","0.298816334555159102"
"var","DCTN3","0.145828311505671271","0.156280146371872041832773","0.95642229204559459088","ATF3 (RNAseq, COAD)","DCTN3","0.145828311505671271"
"var","DDAH2","0.093937050011437623","0.362638065814241294937403","0.96174058171875942413","ATF3 (RNAseq, COAD)","DDAH2","0.093937050011437623"
"var","DDB1","0.128113713000138962","0.213520553048099193116371","0.95642229204559459088","ATF3 (RNAseq, COAD)","DDB1","0.128113713000138962"
"var","DMTN","0.293839255603084715","0.003663781779231815426828","0.94322686363662389120","ATF3 (RNAseq, COAD)","DMTN","0.293839255603084715"
