"Parameter","Value"
"TARGET_GENES","ATF3"
"TARGET_CANCERS","COAD"
"PAN_CANCERS","BRCA;CCRCC;COAD;GBM;HNSCC;LUAD;LUSC;OV;PDAC;UCEC"
"CONTINUOUS_PANEL_GENES","ATF3;JUN;FOS;DDIT3;CEBPB"
"MUTATION_PANEL_GENES","APC;TP53;KRAS;PIK3CA"
"CLINICAL_VARIABLES","Age;Tumor_Stage;Gender;BMI"
"ENRICH_DATABASES","MsigDB"
"GENOME_SCAN_MODALS","Protein"
"SURVIVAL_TYPES","OS;PFS"
"RUN_MODAL_PAIR_GRID","TRUE"
"RUN_AUXILIARY_AVAILABLE_SCENARIOS","FALSE"
"SMOKE_TEST_MODE","FALSE"
"SMOKE_TEST_SAMPLES_PER_CANCER","24"
"STOP_IF_BULK_DATA_MISSING","TRUE"
"ALLOW_FORK_PARALLEL","FALSE"
"DISABLE_FORK_PARALLEL","TRUE"
"PARALLEL_BACKEND","auto"
"PARALLEL_WORKERS","10"
