"var1_feature","var2_feature","var1","var2","r","p","p_adjusted","method","p_adjust_method","p_value","cancer_type"
"ATF3 (RNAseq, COAD)","ATF3 (logCNA, COAD)","ATF3 (RNAseq, COAD)","ATF3 (logCNA, COAD)","-0.1387929295853426725","0.15998578410135871897","0.4444049558371075404","pearson","BH","0.15998578410135871897","COAD"
"ATF3 (RNAseq, COAD)","CEBPB (logCNA, COAD)","ATF3 (RNAseq, COAD)","CEBPB (logCNA, COAD)","0.0113297570461238714","0.90912007749922940647","0.9470000807283640576","pearson","BH","0.90912007749922940647","COAD"
"ATF3 (RNAseq, COAD)","DDIT3 (logCNA, COAD)","ATF3 (RNAseq, COAD)","DDIT3 (logCNA, COAD)","-0.0177246862543821750","0.85826248312529884732","0.9470000807283640576","pearson","BH","0.85826248312529884732","COAD"
"ATF3 (RNAseq, COAD)","FOS (logCNA, COAD)","ATF3 (RNAseq, COAD)","FOS (logCNA, COAD)","0.0185026138861442806","0.85211088450470184874","0.9470000807283640576","pearson","BH","0.85211088450470184874","COAD"
"ATF3 (RNAseq, COAD)","JUN (logCNA, COAD)","ATF3 (RNAseq, COAD)","JUN (logCNA, COAD)","-0.0801723621947456333","0.41850214532034724080","0.6539096020630426054","pearson","BH","0.41850214532034724080","COAD"
"CEBPB (RNAseq, COAD)","ATF3 (logCNA, COAD)","CEBPB (RNAseq, COAD)","ATF3 (logCNA, COAD)","-0.2315071425905284863","0.01804938704112732731","0.0902469352056366331","pearson","BH","0.01804938704112732731","COAD"
"CEBPB (RNAseq, COAD)","CEBPB (logCNA, COAD)","CEBPB (RNAseq, COAD)","CEBPB (logCNA, COAD)","0.4058547462067231826","0.00001916877015618611","0.0003411885600480526","pearson","BH","0.00001916877015618611","COAD"
"CEBPB (RNAseq, COAD)","DDIT3 (logCNA, COAD)","CEBPB (RNAseq, COAD)","DDIT3 (logCNA, COAD)","-0.0163588919543335015","0.86908305889919779119","0.9470000807283640576","pearson","BH","0.86908305889919779119","COAD"
"CEBPB (RNAseq, COAD)","FOS (logCNA, COAD)","CEBPB (RNAseq, COAD)","FOS (logCNA, COAD)","-0.1895138535265447344","0.05400325337985146384","0.1928687620708980921","pearson","BH","0.05400325337985146384","COAD"
"CEBPB (RNAseq, COAD)","JUN (logCNA, COAD)","CEBPB (RNAseq, COAD)","JUN (logCNA, COAD)","0.0935371596167445390","0.34494522908565994346","0.6218433373959192378","pearson","BH","0.34494522908565994346","COAD"
"DDIT3 (RNAseq, COAD)","ATF3 (logCNA, COAD)","DDIT3 (RNAseq, COAD)","ATF3 (logCNA, COAD)","-0.0812226711696508591","0.41241208751758284823","0.6539096020630426054","pearson","BH","0.41241208751758284823","COAD"
