"COAD_KRAS_Mutation","COAD_TP53_Mutation","COAD_APC_Mutation","COAD_PIK3CA_Mutation","cancer_type"
"WildType","WildType","WildType","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"Mutation","WildType","WildType","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","WildType","WildType","COAD"
"WildType","WildType","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","WildType","WildType","Mutation","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","WildType","WildType","Mutation","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","Mutation","WildType","Mutation","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","WildType","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"Mutation","WildType","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","Mutation","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","Mutation","COAD"
"Mutation","WildType","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","WildType","Mutation","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","Mutation","WildType","Mutation","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","WildType","Mutation","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","WildType","Mutation","Mutation","COAD"
"Mutation","WildType","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","Mutation","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","Mutation","COAD"
"Mutation","WildType","Mutation","Mutation","COAD"
"Mutation","WildType","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"Mutation","WildType","Mutation","WildType","COAD"
"WildType","WildType","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","WildType","Mutation","Mutation","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"Mutation","WildType","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","Mutation","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","Mutation","Mutation","Mutation","COAD"
"WildType","WildType","Mutation","Mutation","COAD"
"WildType","Mutation","Mutation","Mutation","COAD"
"WildType","Mutation","WildType","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","WildType","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","Mutation","COAD"
"WildType","WildType","Mutation","WildType","COAD"
"WildType","Mutation","WildType","WildType","COAD"
"WildType","WildType","Mutation","Mutation","COAD"
"Mutation","WildType","Mutation","Mutation","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","Mutation","COAD"
"Mutation","WildType","Mutation","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"Mutation","WildType","WildType","Mutation","COAD"
"Mutation","WildType","Mutation","Mutation","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"Mutation","WildType","Mutation","WildType","COAD"
"Mutation","Mutation","WildType","WildType","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"WildType","Mutation","WildType","WildType","COAD"
"Mutation","Mutation","Mutation","Mutation","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"WildType","WildType","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","Mutation","COAD"
"WildType","WildType","WildType","WildType","COAD"
"Mutation","Mutation","Mutation","Mutation","COAD"
"WildType","Mutation","Mutation","WildType","COAD"
"Mutation","Mutation","Mutation","WildType","COAD"
"WildType","Mutation","WildType","WildType","COAD"
"WildType","Mutation","WildType","WildType","COAD"
"WildType","WildType","WildType","WildType","COAD"
"Mutation","Mutation","WildType","Mutation","COAD"
