"var1_feature","var2_feature","var1","var2","r","p","p_adjusted","method","p_adjust_method","p_value","cancer_type"
"ATF3 (RNAseq, COAD)","ATF3 (logCNA, COAD)","ATF3 (RNAseq, COAD)","ATF3 (logCNA, COAD)","-0.13879292958534267","0.1599857841013587","0.7999289205067937","pearson","BH","0.1599857841013587","COAD"
"ATF3 (RNAseq, COAD)","CEBPB (logCNA, COAD)","ATF3 (RNAseq, COAD)","CEBPB (logCNA, COAD)","0.01132975704612387","0.9091200774992294","0.9091200774992294","pearson","BH","0.9091200774992294","COAD"
"ATF3 (RNAseq, COAD)","DDIT3 (logCNA, COAD)","ATF3 (RNAseq, COAD)","DDIT3 (logCNA, COAD)","-0.01772468625438217","0.8582624831252988","0.9091200774992294","pearson","BH","0.8582624831252988","COAD"
"ATF3 (RNAseq, COAD)","FOS (logCNA, COAD)","ATF3 (RNAseq, COAD)","FOS (logCNA, COAD)","0.01850261388614428","0.8521108845047018","0.9091200774992294","pearson","BH","0.8521108845047018","COAD"
"ATF3 (RNAseq, COAD)","JUN (logCNA, COAD)","ATF3 (RNAseq, COAD)","JUN (logCNA, COAD)","-0.08017236219474563","0.4185021453203472","0.9091200774992294","pearson","BH","0.4185021453203472","COAD"
