"Modal","Available_Cancers","Unavailable_In_PAN_CANCERS"
"RNAseq","BRCA;CCRCC;COAD;GBM;HNSCC;LUAD;LUSC;OV;PDAC;UCEC",""
"Protein","BRCA;CCRCC;COAD;GBM;HNSCC;LUAD;LUSC;OV;PDAC;UCEC",""
"Phospho","BRCA;CCRCC;GBM;HNSCC;LUAD;LUSC;PDAC;UCEC","COAD;OV"
"Mutation","BRCA;CCRCC;COAD;GBM;HNSCC;LUAD;LUSC;OV;PDAC;UCEC",""
"Clinical","BRCA;CCRCC;COAD;GBM;HNSCC;LUAD;LUSC;OV;PDAC;UCEC",""
"logCNA","BRCA;CCRCC;COAD;GBM;HNSCC;LUAD;LUSC;OV;PDAC;UCEC",""
"Methylation","CCRCC;GBM;HNSCC;LUAD;LUSC;PDAC;UCEC","BRCA;COAD;OV"
"Survival","BRCA;CCRCC;COAD;GBM;HNSCC;LUAD;LUSC;OV;PDAC;UCEC",""
