"COAD_ATF3_Mutation","COAD_ATF3_logCNA","cancer_type"
"WildType","0.029000000000000001","COAD"
"WildType","0.045999999999999999","COAD"
"WildType","0.012000000000000000","COAD"
"WildType","0.211999999999999994","COAD"
"WildType","-0.457000000000000017","COAD"
"WildType","0.974999999999999978","COAD"
"WildType","-0.095000000000000001","COAD"
"WildType","-0.175999999999999990","COAD"
"WildType","0.025999999999999999","COAD"
"WildType","-0.157000000000000001","COAD"
"WildType","0.014999999999999999","COAD"
"WildType",NA,"COAD"
"WildType","-0.110000000000000001","COAD"
"WildType","0.004000000000000000","COAD"
"WildType","-0.014999999999999999","COAD"
"WildType","0.340000000000000024","COAD"
"WildType","0.000000000000000000","COAD"
"WildType","0.047000000000000000","COAD"
"WildType","0.034000000000000002","COAD"
"WildType","-0.028000000000000001","COAD"
"WildType","0.027000000000000000","COAD"
"WildType","0.019000000000000000","COAD"
"WildType","-0.008999999999999999","COAD"
"WildType","0.014000000000000000","COAD"
"WildType","-0.027000000000000000","COAD"
"WildType","0.008999999999999999","COAD"
"WildType","0.858999999999999986","COAD"
"WildType",NA,"COAD"
"WildType","-0.178999999999999992","COAD"
"WildType","0.168000000000000010","COAD"
"WildType","-0.052999999999999999","COAD"
"Mutation","0.776000000000000023","COAD"
"WildType","-0.004000000000000000","COAD"
"WildType","-0.002000000000000000","COAD"
"WildType","0.023000000000000000","COAD"
"WildType","-0.021000000000000001","COAD"
"WildType","0.599999999999999978","COAD"
"WildType","0.007000000000000000","COAD"
"WildType","0.053999999999999999","COAD"
"WildType","-0.006000000000000000","COAD"
"WildType","0.006000000000000000","COAD"
"WildType","-0.135000000000000009","COAD"
"WildType","0.214999999999999997","COAD"
"WildType","-0.306999999999999995","COAD"
"WildType","-0.167000000000000010","COAD"
"WildType","-0.130000000000000004","COAD"
"WildType","-0.234000000000000014","COAD"
"WildType","0.037999999999999999","COAD"
"WildType","-0.157000000000000001","COAD"
"WildType","-0.002000000000000000","COAD"
"WildType","0.299999999999999989","COAD"
"WildType","-0.087999999999999995","COAD"
"WildType","-0.154999999999999999","COAD"
"WildType","0.014999999999999999","COAD"
"WildType","-0.175999999999999990","COAD"
"WildType","0.403000000000000025","COAD"
"WildType","0.659000000000000030","COAD"
"WildType","0.017000000000000001","COAD"
"WildType","0.004000000000000000","COAD"
"WildType","-0.185999999999999999","COAD"
"WildType","0.484999999999999987","COAD"
"WildType","-0.139000000000000012","COAD"
"WildType","0.008999999999999999","COAD"
"WildType","-0.175999999999999990","COAD"
"WildType","-0.252000000000000002","COAD"
"WildType","-0.126000000000000001","COAD"
"WildType","-0.195000000000000007","COAD"
"WildType","-0.122999999999999998","COAD"
"WildType","0.005000000000000000","COAD"
"WildType","-0.075999999999999998","COAD"
"WildType","0.305999999999999994","COAD"
"WildType","-0.003000000000000000","COAD"
"WildType","-0.117999999999999994","COAD"
"WildType","0.014000000000000000","COAD"
"WildType","0.017000000000000001","COAD"
"WildType","-0.058000000000000003","COAD"
"WildType","-0.080000000000000002","COAD"
"WildType","0.012000000000000000","COAD"
"WildType","-0.021000000000000001","COAD"
"WildType","0.241999999999999993","COAD"
"WildType","0.000000000000000000","COAD"
"WildType","-0.264000000000000012","COAD"
"Mutation","0.227000000000000007","COAD"
"WildType","-0.087999999999999995","COAD"
"WildType","-0.074999999999999997","COAD"
"WildType","-0.283999999999999975","COAD"
"WildType",NA,"COAD"
"WildType",NA,"COAD"
"WildType","0.029999999999999999","COAD"
"WildType","0.017000000000000001","COAD"
"WildType","-0.004000000000000000","COAD"
"WildType","0.079000000000000001","COAD"
"WildType","-0.110000000000000001","COAD"
"WildType","0.766000000000000014","COAD"
"WildType","-0.207999999999999990","COAD"
"WildType","-0.354999999999999982","COAD"
"WildType","0.332000000000000017","COAD"
"WildType","-0.021999999999999999","COAD"
"WildType","0.023000000000000000","COAD"
"WildType","-0.014999999999999999","COAD"
"WildType","0.016000000000000000","COAD"
"WildType",NA,"COAD"
"WildType","0.227000000000000007","COAD"
"WildType","-0.183999999999999997","COAD"
"WildType","0.561000000000000054","COAD"
"WildType","0.008999999999999999","COAD"
"WildType","0.017000000000000001","COAD"
"WildType","-0.024000000000000000","COAD"
"WildType","0.014999999999999999","COAD"
