"variable","hr","hr_lower","hr_upper","p_value","cindex"
"ATF3 (RNAseq, COAD)","1.4088176711734235","0.6915520198460204","2.870018702356524","0.3451270393124999","0.6424682395644283"
"JUN (RNAseq, COAD)","0.4606779495240262","0.1634341917813836","1.298529829434597","0.1426791497790960","0.7023593466424682"
"FOS (RNAseq, COAD)","1.1186103867583681","0.5240145573852848","2.387890144898567","0.7720450708263860","0.5462794918330309"
"DDIT3 (RNAseq, COAD)","1.1871878964088023","0.3066585813819560","4.596039983710979","0.8037855100640724","0.5499092558983666"
"CEBPB (RNAseq, COAD)","0.7651026009907985","0.2374104677332785","2.465695786845166","0.6538368876663002","0.5644283121597096"
