"x","gene","r","pvalue","p_adjusted"
"var","DOCK10","0.3829516875368977","0.0001176975595297553","0.4053637609593652"
"var","SPTB","0.3751745579088293","0.0001656574421574848","0.4053637609593652"
"var","SPTA1","0.3564104366879456","0.0003650428432246806","0.5491843622314597"
"var","ANK1","0.3513058040897119","0.0004488633937322923","0.5491843622314597"
"var","EPB42","0.3454492662156897","0.0005665914689927588","0.5545797298501123"
"var","PPBP","0.3359002587768822","0.0008204701763263960","0.6648145780082603"
"var","GYPA","0.3319891964368933","0.0009516151346615060","0.6648145780082603"
"var","SLC4A1","0.3284431700689702","0.0010867422607409240","0.6648145780082603"
"var","DNMBP","0.3101083594932051","0.0021063987266626998","0.7913268134225451"
"var","SNCA","0.3060913342196454","0.0024218866684954377","0.7913268134225451"
"var","MPZL1","0.3060493331010699","0.0024253988968815235","0.7913268134225451"
"var","HBD","0.3000403814959078","0.0029777771121948741","0.8933745571942046"
"var","DCLK1","0.2988163345551591","0.0031032626629140738","0.8933745571942046"
"var","DMTN","0.2938392556030847","0.0036637817792318154","0.9432268636366239"
"var","FBXO7","0.2921205179964083","0.0038774211919898821","0.9432268636366239"
"var","CCS","0.2908128063084651","0.0040473567912482841","0.9432268636366239"
"var","RBPMS","0.2892387850024586","0.0042606989356916277","0.9478118450579467"
"var","APOL1","0.2855179621510985","0.0048054096172919399","0.9564222920455946"
"var","VWF","0.2828981816582260","0.0052252851520626096","0.9564222920455946"
"var","GPC4","0.2698761611671006","0.0078342774114502217","0.9564222920455946"
"var","ARHGEF17","0.2677514146390425","0.0083546272109352032","0.9564222920455946"
"var","F12","0.2664960748811993","0.0086761503705434194","0.9564222920455946"
"var","LIMS1","0.2659041426973561","0.0088314978192186415","0.9564222920455946"
"var","S100B","0.2625850342972214","0.0097486766679970721","0.9564222920455946"
"var","LPA","0.2589547383950999","0.0108465038511285326","0.9564222920455946"
"var","APOB","0.2580973295497186","0.0111210511499030985","0.9564222920455946"
"var","CUL4B","0.2540038865234179","0.0125171648456029235","0.9564222920455946"
"var","TLN1","0.2537194748114909","0.0126196049543033442","0.9564222920455946"
"var","C4B","0.2505911396929099","0.0137954590215006237","0.9564222920455946"
"var","CCL21","0.2501427235177043","0.0139715746727882388","0.9564222920455946"
"var","SDC2","0.2483893225352219","0.0146791021412973708","0.9564222920455946"
"var","ALAD","0.2471704392317500","0.0151890649138603298","0.9564222920455946"
"var","EPB41","0.2450736992807188","0.0161022637817731032","0.9564222920455946"
"var","MCAM","0.2426045529592435","0.0172381988910470033","0.9564222920455946"
"var","ITPR1","0.2421196643110440","0.0174692178200703714","0.9564222920455946"
"var","DAB2","0.2411009985057617","0.0179632605182646066","0.9564222920455946"
"var","DTNA","0.2386895591982631","0.0191810144992998650","0.9564222920455946"
"var","PARVA","0.2385488868982929","0.0192541932514024364","0.9564222920455946"
"var","LAMA4","0.2374752268750382","0.0198206692470621407","0.9564222920455946"
"var","SNCG","0.2371527573950064","0.0199935794952156888","0.9564222920455946"
"var","PPFIBP1","0.2370938249899677","0.0200253190451815631","0.9564222920455946"
"var","EVL","0.2362467689300144","0.0204863253317778236","0.9564222920455946"
"var","TANGO2","0.2336040910601415","0.0219835694567387316","0.9564222920455946"
"var","WAS","0.2329643594864157","0.0223597862960971325","0.9564222920455946"
"var","SMG9","0.2305583484871404","0.0238244359461189797","0.9564222920455946"
"var","PECAM1","0.2289779907174470","0.0248303912420467128","0.9564222920455946"
"var","ENTPD1","0.2286925099718068","0.0250159171510491093","0.9564222920455946"
"var","TMOD1","0.2271170295953426","0.0260611539068991219","0.9564222920455946"
"var","FILIP1L","0.2271135200822698","0.0260635230964552135","0.9564222920455946"
"var","PALM2AKAP2","0.2266893810222905","0.0263512014809187296","0.9564222920455946"
"var","ITPRID2","-0.3248935813457323","0.0012392738682099505","0.6738895901132775"
"var","PAXBP1","-0.3120517593454586","0.0019675065431214783","0.7913268134225451"
"var","NAPG","-0.3079737802960416","0.0022690980881419696","0.7913268134225451"
"var","UBQLN4","-0.3076790848526542","0.0022924283338469444","0.7913268134225451"
"var","EPS8L2","-0.2970230375489388","0.0032956777527238345","0.8960581623239138"
"var","ITGB4","-0.2840412332557680","0.0050382344882473921","0.9564222920455946"
"var","SFN","-0.2775074711093220","0.0061931956859760714","0.9564222920455946"
"var","SCO1","-0.2768052453820722","0.0063303152715051712","0.9564222920455946"
"var","IDH1","-0.2720180137322120","0.0073388626186508500","0.9564222920455946"
"var","VAMP8","-0.2716260916637073","0.0074273922334461015","0.9564222920455946"
"var","PSMD2","-0.2705955805032176","0.0076646822520876484","0.9564222920455946"
"var","TMEM63A","-0.2703227625063988","0.0077286111599276733","0.9564222920455946"
"var","DSC2","-0.2687118551814270","0.0081157629731097598","0.9564222920455946"
"var","PSMD6","-0.2680630163588849","0.0082764616501880828","0.9564222920455946"
"var","ASPSCR1","-0.2672457797660199","0.0084828491452015806","0.9564222920455946"
"var","ARHGAP27","-0.2625458674492984","0.0097599805382711392","0.9564222920455946"
"var","ENPP4","-0.2623301083495331","0.0098224566401488213","0.9564222920455946"
"var","GID8","-0.2588683718617367","0.0108738878308229786","0.9564222920455946"
"var","PSMC6","-0.2554847125335827","0.0119954199244406944","0.9564222920455946"
"var","UBR4","-0.2547259828882190","0.0122603267188554806","0.9564222920455946"
"var","IRF6","-0.2547084316546566","0.0122665145184315087","0.9564222920455946"
"var","PSMD4","-0.2542045040844601","0.0124453423638564153","0.9564222920455946"
"var","PSMC5","-0.2532536842215606","0.0127889520916023257","0.9564222920455946"
"var","ITGA6","-0.2510382007188053","0.0136217988635142472","0.9564222920455946"
"var","PSMD1","-0.2495750260446383","0.0141973365818537905","0.9564222920455946"
"var","PABPC4","-0.2480841715049385","0.0148053590744114932","0.9564222920455946"
"var","GALNT7","-0.2434063672864021","0.0168619682997982120","0.9564222920455946"
"var","FAM177A1","-0.2434026316318435","0.0168637045822145407","0.9564222920455946"
"var","AUP1","-0.2421001777958265","0.0174785574738567095","0.9564222920455946"
"var","SLC25A24","-0.2418121203502044","0.0176171232406256324","0.9564222920455946"
"var","FAM20B","-0.2414389180823691","0.0177980546832891690","0.9564222920455946"
"var","MARS1","-0.2413059150465737","0.0178629216832747566","0.9564222920455946"
"var","TM9SF4","-0.2393156262347465","0.0188582238562118934","0.9564222920455946"
"var","ATP5ME","-0.2387818146801574","0.0191331525074158980","0.9564222920455946"
"var","KRT19","-0.2376472182156218","0.0197289727887418331","0.9564222920455946"
"var","PSMD11","-0.2366958164947052","0.0202408116885022978","0.9564222920455946"
"var","IGFBP2","-0.2358210132927961","0.0207214598862995730","0.9564222920455946"
"var","COG7","-0.2347246706967834","0.0213376249040642327","0.9564222920455946"
"var","SLC12A9","-0.2344111043858283","0.0215167165049471552","0.9564222920455946"
"var","PSMC2","-0.2319035571027744","0.0229957677745209407","0.9564222920455946"
"var","PSMC3","-0.2315137079081196","0.0232333466877111781","0.9564222920455946"
"var","FNBP1L","-0.2313856653513026","0.0233118334380876535","0.9564222920455946"
"var","FH","-0.2311621277374123","0.0234493990182443844","0.9564222920455946"
"var","RDH14","-0.2307331326051219","0.0237153461157003018","0.9564222920455946"
"var","LAD1","-0.2299698002936994","0.0241949272409970190","0.9564222920455946"
"var","SAP30BP","-0.2295410391040572","0.0244679167580069759","0.9564222920455946"
"var","TMOD3","-0.2283175126325677","0.0252614106854434674","0.9564222920455946"
"var","ATG5","-0.2280035885065734","0.0254684971226011476","0.9564222920455946"
"var","HGS","-0.2272393357199409","0.0259787022738059148","0.9564222920455946"
"var","TRIP10","-0.2270442920771001","0.0261102947515374356","0.9564222920455946"
