"COAD_ATF3_Mutation","COAD_ATF3_RNAseq","cancer_type"
"WildType","10.091699999999999","COAD"
"WildType","8.401400000000001","COAD"
"WildType","8.089700000000001","COAD"
"WildType","10.351200000000000","COAD"
"WildType","11.661799999999999","COAD"
"WildType","8.210500000000000","COAD"
"WildType","9.381399999999999","COAD"
"WildType","11.081600000000000","COAD"
"WildType","8.460699999999999","COAD"
"WildType","10.301700000000000","COAD"
"WildType","8.120900000000001","COAD"
"WildType",NA,"COAD"
"WildType","11.081799999999999","COAD"
"WildType","9.731500000000000","COAD"
"WildType","10.789199999999999","COAD"
"WildType","10.591699999999999","COAD"
"WildType","9.511400000000000","COAD"
"WildType","9.901500000000000","COAD"
"WildType","9.441400000000000","COAD"
"WildType","11.321899999999999","COAD"
"WildType","10.421700000000000","COAD"
"WildType","9.151000000000000","COAD"
"WildType","13.012000000000000","COAD"
"WildType","8.539899999999999","COAD"
"WildType","11.141800000000000","COAD"
"WildType","10.991800000000000","COAD"
"WildType","11.211700000000000","COAD"
"WildType","9.761500000000000","COAD"
"WildType","9.541499999999999","COAD"
"WildType","9.551200000000000","COAD"
"WildType","8.896200000000000","COAD"
"Mutation","9.811400000000001","COAD"
"WildType","8.940799999999999","COAD"
"WildType","8.638299999999999","COAD"
"WildType","10.501700000000000","COAD"
"WildType","8.670500000000001","COAD"
"WildType","10.641700000000000","COAD"
"WildType","10.241600000000000","COAD"
"WildType","10.501700000000000","COAD"
"WildType","10.271599999999999","COAD"
"WildType","9.100700000000000","COAD"
"WildType","9.571500000000000","COAD"
"WildType","8.891600000000000","COAD"
"WildType","10.031599999999999","COAD"
"WildType","10.241600000000000","COAD"
"WildType","9.071300000000001","COAD"
"WildType","7.659800000000000","COAD"
"WildType","9.701499999999999","COAD"
"WildType","11.031800000000000","COAD"
"WildType","9.971600000000000","COAD"
"WildType","9.321500000000000","COAD"
"WildType","8.870699999999999","COAD"
"WildType","9.078799999999999","COAD"
"WildType","10.811700000000000","COAD"
"WildType","9.156100000000000","COAD"
"WildType","9.031100000000000","COAD"
"WildType","10.164099999999999","COAD"
"WildType","11.411799999999999","COAD"
"WildType","9.771599999999999","COAD"
"WildType","10.261699999999999","COAD"
"WildType","9.921600000000000","COAD"
"WildType","9.511300000000000","COAD"
"WildType","9.671400000000000","COAD"
"WildType","9.371400000000000","COAD"
"WildType","9.871600000000001","COAD"
"WildType","9.111400000000000","COAD"
"WildType","10.921799999999999","COAD"
"WildType","10.301600000000001","COAD"
"WildType","10.281599999999999","COAD"
"WildType","9.621499999999999","COAD"
"WildType","11.371900000000000","COAD"
"WildType","11.791900000000000","COAD"
"WildType","12.611900000000000","COAD"
"WildType","10.471700000000000","COAD"
"WildType","10.591699999999999","COAD"
"WildType","9.090999999999999","COAD"
"WildType","9.761400000000000","COAD"
"WildType","9.321300000000001","COAD"
"WildType","10.361499999999999","COAD"
"WildType","8.791100000000000","COAD"
"WildType","10.351699999999999","COAD"
"WildType","9.261400000000000","COAD"
"Mutation","8.420600000000000","COAD"
"WildType","8.540900000000001","COAD"
"WildType","9.331300000000001","COAD"
"WildType","11.421799999999999","COAD"
"WildType",NA,"COAD"
"WildType",NA,"COAD"
"WildType","10.661700000000000","COAD"
"WildType","10.991800000000000","COAD"
"WildType","10.381700000000000","COAD"
"WildType","8.561000000000000","COAD"
"WildType","11.431800000000001","COAD"
"WildType","7.959400000000000","COAD"
"WildType","8.360099999999999","COAD"
"WildType","10.581700000000000","COAD"
"WildType","9.451100000000000","COAD"
"WildType","9.440899999999999","COAD"
"WildType","9.611300000000000","COAD"
"WildType","9.651500000000000","COAD"
"WildType","9.101200000000000","COAD"
"WildType",NA,"COAD"
"WildType","9.711399999999999","COAD"
"WildType","9.709099999999999","COAD"
"WildType","8.880800000000001","COAD"
"WildType","8.811000000000000","COAD"
"WildType","8.751099999999999","COAD"
"WildType","9.331000000000000","COAD"
"WildType","11.641900000000000","COAD"
