"ID","Description","NES","pvalue","qvalue","size","leadingEdge"
"IFN-gamma response","IFN-gamma response","-2.4079064536868140","0.0000000003235464285460061","0.00000001520668214166229","89","MX1,GBP4,IFIT1,RIGI,OAS2,HLA-DRB1,IFIT3,PLSCR1,DDX60,GZMA,UBE2L6,NAMPT,MX2,OAS3,ISG15,STAT1,WARS1,STAT3,TAPBP,IFI35,FAS,PARP14,IRF9,EIF2AK2,TAP1,RNF213,TRIM14,OGFR,NMI,ISG20,TOR1B,CMPK2,CMTR1,LGALS3BP,PSME2,ICAM1,CD38,PARP12,PTPN1,CFH,BST2,CASP1"
"IFN-alpha response","IFN-alpha response","-2.4180991985657814","0.0000000170871946994300464","0.00000040154907543660607","54","MX1,GBP4,IFIT3,PLSCR1,DDX60,UBE2L6,ISG15,OAS1,WARS1,GBP2,IFI35,CD47,PARP14,IRF9,EIF2AK2,TAP1,TRIM14,OGFR,NMI,ISG20,PARP9,CMPK2,CMTR1,LGALS3BP,PSME2,CNP,PARP12,PROCR,BST2,CASP1,MOV10,ADAR,C1S"
"Complement","Complement","-2.1667137564540293","0.0000000931955570408764507","0.00000146006372697373100","98","FCN1,S100A12,F5,S100A9,ITGAM,APOC1,GCA,CDA,C9,C4BPB,PLG,PLSCR1,F2,GZMA,EHD1,C1QA,CLU,C1QC,FN1,DOCK10,CP,KLKB1,FCER1G,CSRP1,LIPA,COL4A2,ERAP2,PLEK,CASP10,LYN,CFH,CASP1,VCPIP1,GNAI2,CD55,C1S,PDP1,C1R,S100A13"
"Peroxisome","Peroxisome","2.0163864846442969","0.0000634976560552701736143","0.00074609745864942457385","56","FABP6,EHHADH,ECH1,ABCB1,HSD17B4,FIS1,UGT2B17,GNPAT,MVP,ACAA1,ACSL5,GSTK1,CRAT,ECI2,MLYCD,TSPO,ALDH9A1,ACOX1,EPHX2,SCP2,ABCD3,SLC35B2,ALDH1A1,PRDX5"
"Allograft rejection","Allograft rejection","-1.9307894026871473","0.0001551624084259445161306","0.00142668643869736655461","68","MMP9,ELANE,NCF4,ITGB2,F2,CFP,GZMA,HLA-E,TAP2,STAT1,WARS1,TAPBP,GBP2,CD47,FAS,TAP1,ITGAL,FYB1,GALNT1,ICAM1,TRAF2,PTPRC,LYN,PRKCB,IL18,FLNA"
"Fatty acid metabolism","Fatty acid metabolism","1.7423316563653910","0.0001821301836634936130964","0.00142668643869736655461","114","HMGCS2,EHHADH,ECH1,HSD17B10,HSD17B4,ALDH3A2,ECHS1,HSPH1,HSD17B7,HADH,SUCLA2,MIF,NSDHL,SUCLG1,MDH2,BCKDHB,ACAA1,ACSL5,HADHB,CRAT,MCEE,MGLL,HSDL2,GCDH,ECI2,ACAA2,BPHL,MIX23,MLYCD,ERP29,ACADVL,ALDH9A1,ACOX1,ACO2,SUCLG2,ACADS,HIBCH,OSTC,ACAT2,ALDH1A1,PCBD1,DLST,ACADM,PRDX6,IDH1,PDHB,RAP1GDS1,PDHA1"
"TNF-alpha signaling via NF-kB","TNF-alpha signaling via NF-kB","-2.0036180993997932","0.0003618940046077285610862","0.00242985974522332047812","31","TNC,PTX3,RIGI,SDC4,DNAJB4,NAMPT,EHD1,TAP1,NFKB2,SERPINB8,EIF1,ICAM1,PLEK"
"Coagulation","Coagulation","-1.7075403263915254","0.0020063619521381802733584","0.01178737646881180926861","73","FGA,MMP9,PROS1,APOC1,C8A,C9,F9,PLG,F2,CPN1,CPB2,C8B,PECAM1,ANXA1,C1QA,CLU,C8G,FN1,VWF,KLKB1,HTRA1,CSRP1"
"E2F targets","E2F targets","-1.5549074113007002","0.0035108442723600320409250","0.01833440897788016915593","103","MCM6,MCM3,MCM7,MCM5,MCM4,MCM2,SMC4,POLD2,NCAPD2,ANP32E,NASP,MKI67,RFC2,HMGB2,RFC1,PSIP1,H2AX,CSE1L,MAD2L1,UBR7,CDKN1B,CDK1,PCNA,RFC3,LYAR,TOP2A,DNMT1,DCK,LBR,SMC1A,DDX39A,SYNCRIP,CTPS1,SHMT1,SSRP1,SMC3,POLD1,PAICS,RRM2,ASF1A,NBN"
"UV response down","UV response down","1.6087412210291678","0.0094411144679494973103173","0.04437323799936263718502","59","FBLN5,COL11A1,FHL2,EFEMP1,LTBP1,PLCB4,DMAC2L,BCKDHB,SRI,MGLL,MRPS31,DAB2,ANXA4,DLG1,DDAH1,IGFBP5,PRKCA,CELF2"
"Estrogen response early","Estrogen response early","1.5297648135235520","0.0241566089933647719367737","0.10321460206255857194879","65","KRT18,KRT8,FHL2,SLC2A1,TFF3,TUBB2B,CALB2,ABLIM1,CXCL12,THSD4,WFS1,CANT1,FLNB,NADSYN1,BLVRB,FDFT1,KRT19,CA12,DYNLT3,ARL3"
