"var1_feature","var2_feature","var1","var2","r","p","p_adjusted","method","p_adjust_method","p_value","cancer_type"
"ATF3 (RNAseq, BRCA)","KRAS (RNAseq, BRCA)","ATF3 (RNAseq, BRCA)","KRAS (RNAseq, BRCA)","0.15004697764004268","0.1004453915244044","0.4583987847745504","pearson","BH","0.1004453915244044","BRCA"
"ATF3 (RNAseq, BRCA)","KRAS (RNAseq, CCRCC)","ATF3 (RNAseq, BRCA)","KRAS (RNAseq, CCRCC)",NA,NA,NA,"pearson","BH",NA,"BRCA"
"ATF3 (RNAseq, BRCA)","KRAS (RNAseq, COAD)","ATF3 (RNAseq, BRCA)","KRAS (RNAseq, COAD)",NA,NA,NA,"pearson","BH",NA,"BRCA"
"ATF3 (RNAseq, BRCA)","KRAS (RNAseq, GBM)","ATF3 (RNAseq, BRCA)","KRAS (RNAseq, GBM)",NA,NA,NA,"pearson","BH",NA,"BRCA"
"ATF3 (RNAseq, BRCA)","KRAS (RNAseq, HNSCC)","ATF3 (RNAseq, BRCA)","KRAS (RNAseq, HNSCC)",NA,NA,NA,"pearson","BH",NA,"BRCA"
"ATF3 (RNAseq, BRCA)","KRAS (RNAseq, LUAD)","ATF3 (RNAseq, BRCA)","KRAS (RNAseq, LUAD)",NA,NA,NA,"pearson","BH",NA,"BRCA"
"ATF3 (RNAseq, BRCA)","KRAS (RNAseq, LUSC)","ATF3 (RNAseq, BRCA)","KRAS (RNAseq, LUSC)",NA,NA,NA,"pearson","BH",NA,"BRCA"
"ATF3 (RNAseq, BRCA)","KRAS (RNAseq, OV)","ATF3 (RNAseq, BRCA)","KRAS (RNAseq, OV)",NA,NA,NA,"pearson","BH",NA,"BRCA"
"ATF3 (RNAseq, BRCA)","KRAS (RNAseq, PDAC)","ATF3 (RNAseq, BRCA)","KRAS (RNAseq, PDAC)",NA,NA,NA,"pearson","BH",NA,"BRCA"
"ATF3 (RNAseq, BRCA)","KRAS (RNAseq, UCEC)","ATF3 (RNAseq, BRCA)","KRAS (RNAseq, UCEC)",NA,NA,NA,"pearson","BH",NA,"BRCA"
"ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, BRCA)","ATF3 (RNAseq, CCRCC)","KRAS (RNAseq, BRCA)",NA,NA,NA,"pearson","BH",NA,"CCRCC"
