"Section","Tasks","Completed","Skipped","Failed","Runtime_Seconds","Runtime"
"slcptac_tasks","44","32","12","0","159.43684816360474","2.66 min (159.4 sec)"
"total","44","32","12","0","41.44954895973206","0.69 min (41.4 sec)"
