"x","gene","r","pvalue","p_adjusted"
"var","A1BG","0.11709478966748779194","0.2558835099454749851","0.9617405817187594"
"var","A2M","0.13905048894115590308","0.1766512333063949836","0.9564222920455946"
"var","AAAS","0.02306892894603525604","0.8234598310024454637","0.9772248059457596"
"var","AACS","-0.02864310437888134900","0.7817612924907718641","0.9772248059457596"
"var","AAGAB","-0.16202520806497799910","0.1147584729441566698","0.9564222920455946"
"var","AAK1","0.06774814796227819624","0.5119191377160836609","0.9682910835052709"
"var","AAMDC","0.10031809167477032108","0.3308054224826775247","0.9617405817187594"
"var","AAMP","-0.20571481159166798980","0.0443526540284596912","0.9564222920455946"
"var","AAR2","0.11416820829393421743","0.2680397225782987780","0.9617405817187594"
"var","AARS1","-0.02358615118110745507","0.8195680220591539111","0.9772248059457596"
"var","AARS2","-0.01822083810667709039","0.8601344498011844752","0.9778160272536578"
"var","AASDHPPT","-0.05898662984458772490","0.5680842637837799636","0.9682910835052709"
"var","AASS","-0.00885827530917678539","0.9317384972609060734","0.9921908550208027"
"var","AATF","-0.06650581318263235064","0.5197060127717781919","0.9682910835052709"
"var","ABAT","-0.06105531421570305900","0.5545654376595694490","0.9682910835052709"
"var","ABCA8","0.09515394414550562563","0.3564261999372145828","0.9617405817187594"
"var","ABCB1","0.09819847321370916982","0.3411760963527713519","0.9617405817187594"
"var","ABCB10","-0.09068086794806877460","0.3795852157490622325","0.9617405817187594"
"var","ABCB7","-0.01474481332280528148","0.8866184693368353020","0.9861508372402815"
"var","ABCC1","0.01583387790896566283","0.8783059992528268189","0.9844532453818279"
"var","ABCC3","-0.07189309785753499049","0.4863788900880776644","0.9670795338583280"
"var","ABCD3","-0.17514904643849399379","0.0878510660488059231","0.9564222920455946"
"var","ABCE1","-0.02070792461745241467","0.8412780080729924670","0.9773185117396833"
"var","ABCF1","-0.18122322505036561613","0.0772248322040631902","0.9564222920455946"
"var","ABCF3","-0.08547571531674626188","0.4076513867651826439","0.9617405817187594"
"var","ABHD10","-0.11341601407977040805","0.2712261761638329327","0.9617405817187594"
"var","ABHD11","-0.03352203880318977564","0.7457592137368165286","0.9772248059457596"
"var","ABHD12","-0.01297696169087226778","0.9001376736805044576","0.9896694979592392"
"var","ABHD14B","0.00617540040603992233","0.9523832008479554689","0.9921908550208027"
"var","ABHD16A","-0.12424470886790044133","0.2277876016801755610","0.9564222920455946"
"var","ABI1","-0.10468579840463318464","0.3100756987608161985","0.9617405817187594"
"var","ABI3","0.08200417269555621003","0.4270281177209489520","0.9617405817187594"
"var","ABI3BP","0.18351397386350437602","0.0734955430737205956","0.9564222920455946"
"var","ABLIM1","-0.17413625533898116626","0.0897306873000739968","0.9564222920455946"
"var","ABR","-0.18734802845504014424","0.0675791855311199674","0.9564222920455946"
"var","ABRACL","-0.06390866706885439674","0.5361767522354974336","0.9682910835052709"
"var","ABRAXAS2","-0.06914662572013327568","0.5032257907314083845","0.9682910835052709"
"var","ACAA1","-0.05695898713656125795","0.5814835317439677187","0.9682910835052709"
"var","ACAA2","-0.07105345926753449393","0.4914971847155531481","0.9682910835052709"
"var","ACACA","0.02267525721391659352","0.8264248625297173634","0.9772248059457596"
"var","ACAD10","0.16121126767507534816","0.1166170664202866303","0.9564222920455946"
"var","ACAD8","-0.12830325338108725108","0.2128383043209938208","0.9564222920455946"
"var","ACAD9","-0.05910690423897208001","0.5672940432677751055","0.9682910835052709"
"var","ACADM","-0.16263285479650882448","0.1133859540816468114","0.9564222920455946"
"var","ACADS","-0.01141146886580148706","0.9121333618404254828","0.9897961580592112"
"var","ACADSB","-0.14757059776434622300","0.1513387637576961708","0.9564222920455946"
"var","ACADVL","-0.05166491896569632564","0.6171358313833779086","0.9682910835052709"
"var","ACAP2","0.11088437273153638196","0.2821377716051569062","0.9617405817187594"
