"logFC","AveExpr","t","pvalue","p_adjusted","B","gene","var_name","Gene"
"0.575178714568437499111","22.51756101091606","3.78672506566383848536","0.000262227744911276618861","0.058333753799808540919","0.33002438583887805","ABCB1","APC (Mutation, COAD)","ABCB1"
"0.214745575870871618918","23.26746902229348","3.64140259706853708366","0.000433933585022577806515","0.059986325193394772481","-0.10621642303796541","ACACA","APC (Mutation, COAD)","ACACA"
"0.252108849486425867781","23.67517386509211","2.49136908733683659634","0.014391440958708255279386","0.227199071135220004303","-3.07381187737659678","ACOT8","APC (Mutation, COAD)","ACOT8"
"0.518757835238837117231","27.59420629487400","3.89712946410730820546","0.000177354059478073246888","0.048220598171427250800","0.66968745330766843","ALDH1B1","APC (Mutation, COAD)","ALDH1B1"
"0.046372826071081618693","26.12694708300538","0.71389860766177837270","0.476973307057517725837670","0.804257159093359041968","-5.63317640661513419","ALDOC","APC (Mutation, COAD)","ALDOC"
"-0.249108139295948660674","24.28341106019170","-2.43998857399559820891","0.016469997901712527671458","0.238137846210998788132","-3.18441175712594182","ALOX5","APC (Mutation, COAD)","ALOX5"
"0.754942013750067530964","24.23208333083683","3.66964276041846071408","0.000393867057646238587394","0.059986325193394772481","-0.02242630374440235","AMACR","APC (Mutation, COAD)","AMACR"
"-0.104815292100113310880","25.03417001912379","-1.23729046966172950839","0.218912424330387933579800","0.617853174551856065833","-5.16292318286321628","BCAT2","APC (Mutation, COAD)","BCAT2"
"0.014689164055869952108","22.79845156033364","0.24686408827631572960","0.805525723237364821294193","0.943792835553228681711","-5.84144783580107507","CAMKK2","APC (Mutation, COAD)","CAMKK2"
"-0.015071504442097705123","26.82547592150516","-0.44403877971931876578","0.657985747798820685972032","0.895264339028164712886","-5.77810884357497923","CAND1","APC (Mutation, COAD)","CAND1"
"0.096726583346978145528","22.28869877150241","1.55484327102706121337","0.123181550001320722076414","0.504538246923559641210","-4.75881480291181180","CCDC91","APC (Mutation, COAD)","CCDC91"
"-0.016528441930322657072","27.44925630473582","-0.24627289388134504522","0.805982012269220060574071","0.943792835553228681711","-5.84158348712978803","CD44","APC (Mutation, COAD)","CD44"
"0.231325682239507557370","24.48961607404410","3.43141624190311400611","0.000878094987439211830532","0.078492762712372834977","-0.71394860934208637","CHLSN","APC (Mutation, COAD)","CHLSN"
"0.328053621745986845326","27.22581881805819","3.70062754104807423161","0.000353952048444904922818","0.059986325193394772481","0.07005691833059391","CNN3","APC (Mutation, COAD)","CNN3"
"0.264948362927693636948","22.92811962363485","3.53173677261405893901","0.000629198160079920323223","0.072878255110021800123","-0.42700920661451036","COBLL1","APC (Mutation, COAD)","COBLL1"
"0.142256777685570767744","26.13619664926131","1.22256793249621265041","0.224401903045137240955142","0.626334556121642571647","-5.17951092227887955","CYB5B","APC (Mutation, COAD)","CYB5B"
"0.443778709451787989337","24.31176235335664","3.34382571376990700429","0.001168560835458137478482","0.087983641980494228796","-0.95926854785980886","CYP27A1","APC (Mutation, COAD)","CYP27A1"
"0.212226510369625032126","25.84404668761807","3.23175638582904278806","0.001672229199096726204657","0.099974787406817824942","-1.26590725450809316","DDX18","APC (Mutation, COAD)","DDX18"
"0.266360306166891547264","25.22320185316481","3.13271492818589791796","0.002279566662145238176151","0.110728836305382591365","-1.52998714452432871","DDX27","APC (Mutation, COAD)","DDX27"
"0.203286871924376555398","23.50809237352922","3.13040277147861845108","0.002295935067153289255854","0.110728836305382591365","-1.53607353672588332","DNAAF5","APC (Mutation, COAD)","DNAAF5"
"-0.089955205173254171314","23.67372811215022","-1.15916112816064753588","0.249184901987886120444671","0.650405818841981120393","-5.24875145923000463","DNAJC1","APC (Mutation, COAD)","DNAJC1"
"0.293127707810114657150","25.76030622093975","3.35745868493389609810","0.001118086054357312827956","0.086371241627231143401","-0.92140914582629119","DNAJC19","APC (Mutation, COAD)","DNAJC19"
"0.017422941760941057510","25.49756653404562","0.17445682839155465804","0.861863509429354968105486","0.962806361578523173250","-5.85564471482427695","EHHADH","APC (Mutation, COAD)","EHHADH"
"0.051433504618970005140","24.55613110571481","1.14054191435274598909","0.256818312724292063808917","0.654610749904404709554","-5.26840400180790702","EIF2B1","APC (Mutation, COAD)","EIF2B1"
"0.009222620052305785521","28.73366237862287","0.10877889892822986684","0.913598521090854265302994","0.979893392371806615238","-5.86430399087075038","ETFA","APC (Mutation, COAD)","ETFA"
"0.020918967457319581627","27.51433808032268","0.25866370066435440123","0.796432937426013509707445","0.941711233574029971116","-5.83867244511292594","ETFB","APC (Mutation, COAD)","ETFB"
