"variable","hr","hr_lower","hr_upper","p_value","cindex"
"ATF3 (RNAseq, BRCA)","1.3543629464158804","0.4360791341001869","4.206344324199845","0.5998560234386004","0.6629834254143646"
"ATF3 (RNAseq, CCRCC)","0.8350827407282241","0.6090833025185010","1.144938928679595","0.2629993219517936","0.6037296037296037"
"ATF3 (RNAseq, COAD)","1.4088176711734235","0.6915520198460204","2.870018702356524","0.3451270393124999","0.6424682395644283"
"ATF3 (RNAseq, GBM)","0.9943937973249173","0.8023980894954436","1.232329733960419","0.9590360942179839","0.5548437500000000"
"ATF3 (RNAseq, HNSCC)","1.1380416946272918","0.8692665103691394","1.489921541047486","0.3468534396778637","0.5909793814432990"
"ATF3 (RNAseq, LUAD)","1.2747559661414278","0.9152964493339137","1.775384111230546","0.1509179193535016","0.6402349486049926"
"ATF3 (RNAseq, LUSC)","1.0339473329052122","0.7085493109981905","1.508782904207117","0.8625452375622104","0.4762084592145015"
"ATF3 (RNAseq, OV)","1.1774675252376814","0.7270014603024620","1.907052253254813","0.5066698447911395","0.5212121212121212"
"ATF3 (RNAseq, PDAC)","1.0550749436897293","0.8385886094414154","1.327448434511146","0.6472685974900703","0.5081694821379119"
"ATF3 (RNAseq, UCEC)","1.2224091962910646","0.7946454813522671","1.880441376995069","0.3607619769661957","0.6054216867469879"
