"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","TRRUST"
"1","ATF3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.000000000000000","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","rank=1; score=0.0006143","rank=4; score=67.924; p=1.3742e-07; adjP=9.9903e-05","rank=13; score=1.9926; p=0.010171"
"2","JUN","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.333333333333333","2","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); GTEx--Coexpression(rank=10); ARCHS4--Coexpression(rank=44); Enrichr--Queries(rank=66)","12","rank=12; score=0.003367","rank=5; score=55.46; p=7.1546e-06; adjP=0.002032","rank=2; score=3.9935; p=0.00010151"
"3","FOS","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.000000000000000","6","5","GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=20); ARCHS4--Coexpression(rank=220)","6","rank=6; score=0.001867","rank=35; score=48.172; p=0.0022277; adjP=0.038888","rank=7; score=2.6521; p=0.0022277"
"4","NFKB1","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.000000000000000","3","4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","rank=56; score=0.01474","rank=7; score=44.387; p=0.00014541; adjP=0.0085574","rank=3; score=3.7397; p=0.00018208"
"5","NR1H3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.666666666666668","5","5","Literature--ChIP-seq(rank=13); GTEx--Coexpression(rank=21); ARCHS4--Coexpression(rank=55); Enrichr--Queries(rank=94); ReMap--ChIP-seq(rank=274)","51","rank=51; score=0.01307","rank=21; score=167.77; p=0.00054451; adjP=0.017061","rank=5; score=3.0415; p=0.00090888"
"6","RELA","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.333333333333336","4","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=384); Enrichr--Queries(rank=693); GTEx--Coexpression(rank=963)","71","rank=71; score=0.01829","rank=10; score=26.559; p=6.3953e-05; adjP=0.0058118","rank=4; score=3.1473; p=0.00071234"
"7","FOSL2","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.333333333333336","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=93); ARCHS4--Coexpression(rank=114); GTEx--Coexpression(rank=851)","31","rank=31; score=0.008475","rank=3; score=38.027; p=8.8805e-05; adjP=0.048451","rank=69; score=0.86834; p=0.13541"
"8","IRF4","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.000000000000000","18","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=69); Enrichr--Queries(rank=74); ENCODE--ChIP-seq(rank=100); GTEx--Coexpression(rank=1169)","18","rank=18; score=0.004914","rank=58; score=122.93; p=0.0048116; adjP=0.056536","rank=32; score=1.3248; p=0.047332"
"9","DDIT3","ChEA3;ENRICHR;TRRUST","4","ChEA3;ENRICHR;TRRUST;CollecTRI","38.666666666666664","9","3","Enrichr--Queries(rank=4); GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=50)","9","rank=9; score=0.002849","rank=92; score=56.445; p=0.012805; adjP=0.077656","rank=15; score=1.8926; p=0.012805"
"10","STAT3","ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.000000000000000","8","6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=40); Enrichr--Queries(rank=658); GTEx--Coexpression(rank=954)","72","rank=72; score=0.01843","rank=37; score=27.651; p=0.0025844; adjP=0.038888","rank=8; score=2.5876; p=0.0025845"
