"TF","DLD1_HCT15_SW48","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-8.445812308632669740","-8.445812308632669740","8.445812308632669740","Repressed","1","viper","1","8.445812308632669740",NA,NA,"6","ENCODE--ChIP-seq(rank=89); Literature--ChIP-seq(rank=141); ReMap--ChIP-seq(rank=238); ARCHS4--Coexpression(rank=815); Enrichr--Queries(rank=1075); GTEx--Coexpression(rank=1498)","1324","0.500600000000000045","ARCHS4 Coexpression,0.5006"
"MYC","-5.408045225187173344","-5.408045225187173344","5.408045225187173344","Repressed","2","viper","2","5.408045225187173344",NA,NA,"6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=68); Enrichr--Queries(rank=143); GTEx--Coexpression(rank=190); ReMap--ChIP-seq(rank=219); ARCHS4--Coexpression(rank=788)","365","0.101900000000000004","Enrichr Queries,0.1019"
"TP53","4.726415224276871108","4.726415224276871108","4.726415224276871108","Activated","3","viper","3","4.726415224276871108",NA,NA,"5","Literature--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=57); ARCHS4--Coexpression(rank=1011); Enrichr--Queries(rank=1014); GTEx--Coexpression(rank=1320)","662","0.191899999999999987","ReMap ChIP-seq,0.1919"
"STAT1","4.668978438378457163","4.668978438378457163","4.668978438378457163","Activated","4","viper","4","4.668978438378457163",NA,NA,"6","ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=219); Enrichr--Queries(rank=476); GTEx--Coexpression(rank=1079)","470","0.134500000000000008","ARCHS4 Coexpression,0.1345"
"E2F2","-4.627458410171066738","-4.627458410171066738","4.627458410171066738","Repressed","5","viper","5","4.627458410171066738",NA,NA,"3","GTEx--Coexpression(rank=411); ARCHS4--Coexpression(rank=739); Enrichr--Queries(rank=816)","833","0.255800000000000027","GTEx Coexpression,0.2558"
"MEF2A","4.602500936549033028","4.602500936549033028","4.602500936549033028","Activated","6","viper","6","4.602500936549033028",NA,NA,"6","Literature--ChIP-seq(rank=46); ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=105); ARCHS4--Coexpression(rank=286); GTEx--Coexpression(rank=904); Enrichr--Queries(rank=1068)","608","0.175699999999999995","ARCHS4 Coexpression,0.1757"
"TEAD1","4.487431573850769517","4.487431573850769517","4.487431573850769517","Activated","7","viper","7","4.487431573850769517",NA,NA,"4","ReMap--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=498); GTEx--Coexpression(rank=695); Enrichr--Queries(rank=901)","318","0.087540000000000007","ReMap ChIP-seq,0.08754"
"ATF4","4.347483308106873778","4.347483308106873778","4.347483308106873778","Activated","8","viper","8","4.347483308106873778",NA,NA,"4","GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=860); Enrichr--Queries(rank=916)","195","0.049779999999999998","GTEx Coexpression,0.04978"
"FOXO3","4.334246970336223193","4.334246970336223193","4.334246970336223193","Activated","9","viper","9","4.334246970336223193",NA,NA,"4","Literature--ChIP-seq(rank=57); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=520); GTEx--Coexpression(rank=1130)","781","0.234600000000000003","ARCHS4 Coexpression,0.2346"
"SREBF2","-4.220277935631229660","-4.220277935631229660","4.220277935631229660","Repressed","10","viper","10","4.220277935631229660",NA,NA,"6","ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=753); Enrichr--Queries(rank=812); ARCHS4--Coexpression(rank=1450)","1279","0.468600000000000017","GTEx Coexpression,0.4686"
"ARNTL","4.191126252892838799","4.191126252892838799","4.191126252892838799","Activated","11","viper","11","4.191126252892838799",NA,NA,"4","ARCHS4--Coexpression(rank=32); Enrichr--Queries(rank=38); ReMap--ChIP-seq(rank=202); GTEx--Coexpression(rank=634)","75","0.019660000000000000","ARCHS4 Coexpression,0.01966"
"ESR1","3.946905557452681901","3.946905557452681901","3.946905557452681901","Activated","12","viper","12","3.946905557452681901",NA,NA,"6","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=491); GTEx--Coexpression(rank=507)","46","0.012200000000000001","Literature ChIP-seq,0.0122"
"SNAPC4","-3.886450272022666130","-3.886450272022666130","3.886450272022666130","Repressed","13","viper","13","3.886450272022666130",NA,NA,"4","GTEx--Coexpression(rank=195); ReMap--ChIP-seq(rank=227); Enrichr--Queries(rank=1153); ARCHS4--Coexpression(rank=1188)","428","0.121300000000000005","GTEx Coexpression,0.1213"
"E2F1","-3.716983253504553275","-3.716983253504553275","3.716983253504553275","Repressed","14","viper","14","3.716983253504553275",NA,NA,"6","Literature--ChIP-seq(rank=60); ENCODE--ChIP-seq(rank=113); ReMap--ChIP-seq(rank=188); ARCHS4--Coexpression(rank=1041); GTEx--Coexpression(rank=1092); Enrichr--Queries(rank=1104)","1106","0.365900000000000003","Literature ChIP-seq,0.3659"
"SREBF1","-3.684165657629519863","-3.684165657629519863","3.684165657629519863","Repressed","15","viper","15","3.684165657629519863",NA,NA,"6","ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=45); Literature--ChIP-seq(rank=101); GTEx--Coexpression(rank=278); Enrichr--Queries(rank=314); ARCHS4--Coexpression(rank=1151)","527","0.151499999999999996","ReMap ChIP-seq,0.1515"
"JUN","3.515273537418355687","3.515273537418355687","3.515273537418355687","Activated","16","viper","16","3.515273537418355687",NA,NA,"6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=11); GTEx--Coexpression(rank=29); ARCHS4--Coexpression(rank=58); Enrichr--Queries(rank=79)","20","0.006098000000000000","Literature ChIP-seq,0.006098"
