Pathway,GABA PATHWAY,MAPK PATHWAY,CDMAC PATHWAY,BARRESTIN SRC PATHWAY,BARR MAPK PATHWAY,PDGF PATHWAY,EGF PATHWAY,TPO PATHWAY,IGF1 PATHWAY,IL3 PATHWAY,EPO PATHWAY,GLEEVEC PATHWAY,IL2 PATHWAY,IL2RB PATHWAY,IL22BP PATHWAY,PS1 PATHWAY,HES PATHWAY,WNT PATHWAY,GH PATHWAY,ERK5 PATHWAY,PLC PATHWAY,RAB PATHWAY,STATHMIN PATHWAY,AMI PATHWAY,PRC2 PATHWAY,CD40 PATHWAY
GABA PATHWAY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPK PATHWAY,0.0,1.0,0.13580246913580246,0.07407407407407407,0.06172839506172839,0.16049382716049382,0.16049382716049382,0.1111111111111111,0.12345679012345678,0.08641975308641975,0.12345679012345678,0.14814814814814814,0.12345679012345678,0.1111111111111111,0.012345679012345678,0.0,0.0,0.024691358024691357,0.09876543209876543,0.09876543209876543,0.0,0.0,0.012345679012345678,0.0,0.0,0.08641975308641975
CDMAC PATHWAY,0.0,0.6875,1.0,0.375,0.3125,0.5,0.5,0.5,0.375,0.3125,0.375,0.4375,0.375,0.375,0.0,0.0,0.0,0.0625,0.4375,0.1875,0.1875,0.0,0.0,0.0,0.0,0.1875
BARRESTIN SRC PATHWAY,0.0,0.35294117647058826,0.35294117647058826,1.0,0.8235294117647058,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.0,0.0,0.0,0.0,0.29411764705882354,0.17647058823529413,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
BARR MAPK PATHWAY,0.0,0.35714285714285715,0.35714285714285715,1.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
PDGF PATHWAY,0.0,0.4642857142857143,0.2857142857142857,0.14285714285714285,0.10714285714285714,1.0,0.8928571428571429,0.7142857142857143,0.6071428571428571,0.32142857142857145,0.5,0.5714285714285714,0.5,0.42857142857142855,0.14285714285714285,0.0,0.0,0.03571428571428571,0.5357142857142857,0.2857142857142857,0.21428571428571427,0.0,0.0,0.0,0.0,0.03571428571428571
EGF PATHWAY,0.0,0.48148148148148145,0.2962962962962963,0.14814814814814814,0.1111111111111111,0.9259259259259259,1.0,0.7037037037037037,0.5925925925925926,0.3333333333333333,0.5185185185185185,0.5555555555555556,0.5185185185185185,0.4074074074074074,0.14814814814814814,0.0,0.0,0.037037037037037035,0.5185185185185185,0.25925925925925924,0.18518518518518517,0.0,0.0,0.0,0.0,0.037037037037037035
TPO PATHWAY,0.0,0.375,0.3333333333333333,0.16666666666666666,0.125,0.8333333333333334,0.7916666666666666,1.0,0.5833333333333334,0.4583333333333333,0.5833333333333334,0.625,0.5,0.5,0.20833333333333334,0.0,0.0,0.041666666666666664,0.6666666666666666,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.0
IGF1 PATHWAY,0.0,0.47619047619047616,0.2857142857142857,0.19047619047619047,0.14285714285714285,0.8095238095238095,0.7619047619047619,0.6666666666666666,1.0,0.38095238095238093,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5238095238095238,0.0,0.0,0.0,0.047619047619047616,0.5714285714285714,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
IL3 PATHWAY,0.0,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.2,0.6,0.6,0.7333333333333333,0.5333333333333333,1.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2,0.0,0.0,0.0,0.7333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
EPO PATHWAY,0.0,0.5263157894736842,0.3157894736842105,0.21052631578947367,0.15789473684210525,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.631578947368421,0.631578947368421,1.0,0.631578947368421,0.7368421052631579,0.5263157894736842,0.15789473684210525,0.0,0.0,0.05263157894736842,0.631578947368421,0.2631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
GLEEVEC PATHWAY,0.0,0.5217391304347826,0.30434782608695654,0.17391304347826086,0.13043478260869565,0.6956521739130435,0.6521739130434783,0.6521739130434783,0.5217391304347826,0.43478260869565216,0.5217391304347826,1.0,0.4782608695652174,0.6521739130434783,0.17391304347826086,0.0,0.0,0.043478260869565216,0.5217391304347826,0.30434782608695654,0.17391304347826086,0.0,0.0,0.0,0.0,0.043478260869565216
IL2 PATHWAY,0.0,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.13636363636363635,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.6363636363636364,0.5,1.0,0.6818181818181818,0.18181818181818182,0.0,0.0,0.045454545454545456,0.4090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
IL2RB PATHWAY,0.0,0.24324324324324326,0.16216216216216217,0.10810810810810811,0.08108108108108109,0.32432432432432434,0.2972972972972973,0.32432432432432434,0.2972972972972973,0.2702702702702703,0.2702702702702703,0.40540540540540543,0.40540540540540543,1.0,0.13513513513513514,0.0,0.0,0.02702702702702703,0.40540540540540543,0.24324324324324326,0.10810810810810811,0.0,0.0,0.0,0.0,0.0
IL22BP PATHWAY,0.0,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.5555555555555556,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS1 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.6428571428571429,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HES PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNT PATHWAY,0.0,0.08333333333333333,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.375,0.20833333333333334,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0
GH PATHWAY,0.0,0.2962962962962963,0.25925925925925924,0.18518518518518517,0.14814814814814814,0.5555555555555556,0.5185185185185185,0.5925925925925926,0.4444444444444444,0.4074074074074074,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.037037037037037035,1.0,0.37037037037037035,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
ERK5 PATHWAY,0.0,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.5714285714285714,0.5,0.5714285714285714,0.5,0.2857142857142857,0.35714285714285715,0.5,0.2857142857142857,0.6428571428571429,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0
PLC PATHWAY,0.0,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.0,0.1111111111111111,0.4444444444444444,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.6666666666666666,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,0.0
RAB PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
STATHMIN PATHWAY,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
