"Methods","Method_Labels","Method_Count","Analyses_Evaluated","ATF3_Rank1_Count_All","ATF3_Rank1_Analyses_All","ATF3_Rank1_Count_DEG_Primary","ATF3_Rank1_Analyses_DEG_Primary","ATF3_Top3_Count_All","ATF3_Top10_Count_All","ATF3_Top10_Count_DEG_Primary","ATF3_Median_Consensus_Rank","ATF3_Mean_Consensus_Rank","ATF3_Max_Consensus_Rank"
"chea3;viper;enrichr;trrust","ChEA3;VIPER;ENRICHR;TRRUST",4,9,0,"",0,"",1,3,3,16,17.1111111111111,36
"dorothea;chea3;viper;trrust","DoRothEA;ChEA3;VIPER;TRRUST",4,9,0,"",0,"",1,3,3,18,20.6666666666667,48
"viper;enrichr;trrust;collectri","VIPER;ENRICHR;TRRUST;CollecTRI",4,9,0,"",0,"",0,3,3,18,20.7777777777778,39
"dorothea;viper;trrust;collectri","DoRothEA;VIPER;TRRUST;CollecTRI",4,9,0,"",0,"",0,3,3,24,26.1111111111111,59
"dorothea;chea3;viper;enrichr;trrust","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST",5,9,0,"",0,"",1,3,3,13,16.7777777777778,37
"dorothea;viper;enrichr;trrust;collectri","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI",5,9,0,"",0,"",0,3,3,16,19.3333333333333,41
"chea3;viper","ChEA3;VIPER",2,9,0,"",0,"",0,2,2,24,29.2222222222222,55
"enrichr;trrust","ENRICHR;TRRUST",2,9,0,"",0,"",0,2,2,40,34.2222222222222,60
"chea3;viper;enrichr","ChEA3;VIPER;ENRICHR",3,9,0,"",0,"",1,2,2,14,18.1111111111111,33
"dorothea;chea3;viper","DoRothEA;ChEA3;VIPER",3,9,0,"",0,"",0,2,2,18,24.4444444444444,53
"dorothea;viper;collectri","DoRothEA;VIPER;CollecTRI",3,9,0,"",0,"",0,2,2,19,32,103
"viper;trrust;collectri","VIPER;TRRUST;CollecTRI",3,9,0,"",0,"",0,2,2,27,29.7777777777778,61
"dorothea;trrust","DoRothEA;TRRUST",2,9,0,"",0,"",0,1,1,27,38.5555555555556,84
"viper;enrichr","VIPER;ENRICHR",2,9,0,"",0,"",0,1,1,47,46.4444444444444,89
"dorothea;viper;enrichr","DoRothEA;VIPER;ENRICHR",3,9,0,"",0,"",0,1,1,35,36.6666666666667,70
"viper;enrichr;trrust","VIPER;ENRICHR;TRRUST",3,9,0,"",0,"",0,1,1,38,37.4444444444444,70
"dorothea;viper;enrichr;trrust","DoRothEA;VIPER;ENRICHR;TRRUST",4,9,0,"",0,"",0,1,1,31,34.1111111111111,62
"viper;collectri","VIPER;CollecTRI",2,9,0,"",0,"",0,0,0,31,40.8888888888889,97
"viper;trrust","VIPER;TRRUST",2,9,0,"",0,"",0,0,0,74,65.7777777777778,122
"dorothea;viper","DoRothEA;VIPER",2,9,0,"",0,"",0,0,0,76,82.6666666666667,189
"dorothea;viper;trrust","DoRothEA;VIPER;TRRUST",3,9,0,"",0,"",0,0,0,54,51.6666666666667,101
