"Analysis_Name","Methods","Method_Labels","Method_Count","DEG_ATF3_Primary_Significant","DEG_ATF3_FDR_Significant","Intersected_TF_Count","ATF3_Consensus_Rank","ATF3_Mean_Selected_Rank","ATF3_Best_Selected_Rank","ATF3_Worst_Selected_Rank","ATF3_Source_Method_Count","ATF3_CheA3_Library_Count","ATF3_CheA3_Integrated_TopRank","ATF3_Method_Details","Top1_TF"
"ALL","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,FALSE,245,1,15,1,39,6,6,1,"DoRothEA(rank=39, P=0.15); ChEA3(rank=1); CollecTRI(rank=5, P=5e-06)","ATF3"
"DLD1_HCT15","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,FALSE,243,1,6,1,9,6,6,1,"DoRothEA(rank=9, P=0.00137); ChEA3(rank=1); CollecTRI(rank=8, P=0.00101)","ATF3"
"DLD1_HCT15_SW48","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,FALSE,243,1,9.33333333333333,1,22,6,6,1,"DoRothEA(rank=22, P=0.0269); ChEA3(rank=1); CollecTRI(rank=5, P=1.4e-05)","ATF3"
"HCT15","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,TRUE,245,1,11,1,30,6,6,1,"DoRothEA(rank=30, P=0.00958); ChEA3(rank=1); CollecTRI(rank=2, P=4.63e-07)","ATF3"
"SW948","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,FALSE,242,1,15,2,41,6,6,2,"DoRothEA(rank=41, P=0.0126); ChEA3(rank=2); CollecTRI(rank=2, P=1.6e-08)","ATF3"
"HT55","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,FALSE,FALSE,243,5,33.6666666666667,4,69,6,6,4,"DoRothEA(rank=28, P=0.0132); ChEA3(rank=4); CollecTRI(rank=69, P=0.00385)","HIF1A"
"SW48","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,FALSE,240,10,81.3333333333333,47,122,6,6,122,"DoRothEA(rank=75, P=0.102); ChEA3(rank=122); CollecTRI(rank=47, P=0.0107)","SMAD3"
"DLD1","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,TRUE,243,14,107,35,244,6,6,244,"DoRothEA(rank=42, P=0.0391); ChEA3(rank=244); CollecTRI(rank=35, P=0.00577)","TFDP1"
"RKO","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,TRUE,238,28,164.333333333333,138,184,6,6,171,"DoRothEA(rank=138, P=0.185); ChEA3(rank=171); CollecTRI(rank=184, P=0.0825)","E2F4"
