"Analysis_Name","Methods","Method_Labels","Method_Count","DEG_ATF3_Primary_Significant","DEG_ATF3_FDR_Significant","Intersected_TF_Count","ATF3_Consensus_Rank","ATF3_Mean_Selected_Rank","ATF3_Best_Selected_Rank","ATF3_Worst_Selected_Rank","ATF3_Source_Method_Count","ATF3_CheA3_Library_Count","ATF3_CheA3_Integrated_TopRank","ATF3_Method_Details","Top1_TF"
"DLD1_HCT15_SW48","trrust;collectri","TRRUST;CollecTRI",2,TRUE,FALSE,297,5,23,5,41,6,6,1,"TRRUST(rank=41, P=0.0786); CollecTRI(rank=5, P=1.4e-05)","STAT1"
"HCT15","trrust;collectri","TRRUST;CollecTRI",2,TRUE,TRUE,297,19,46,2,90,6,6,1,"TRRUST(rank=90, P=0.0641); CollecTRI(rank=2, P=4.63e-07)","ATF4"
"HT55","trrust;collectri","TRRUST;CollecTRI",2,FALSE,FALSE,292,27,63,57,69,6,6,4,"TRRUST(rank=57, P=0.034); CollecTRI(rank=69, P=0.00385)","VDR"
"RKO","trrust;collectri","TRRUST;CollecTRI",2,TRUE,TRUE,295,81,157,130,184,6,6,171,"TRRUST(rank=130, P=0.185); CollecTRI(rank=184, P=0.0825)","E2F4"
"SW48","trrust;collectri","TRRUST;CollecTRI",2,TRUE,FALSE,292,51,104.5,47,162,6,6,122,"TRRUST(rank=162, P=0.305); CollecTRI(rank=47, P=0.0107)","SMAD4"
"SW948","trrust;collectri","TRRUST;CollecTRI",2,TRUE,FALSE,295,31,78,2,154,6,6,2,"TRRUST(rank=154, P=0.254); CollecTRI(rank=2, P=1.6e-08)","ATF4"
"ALL","dorothea;chea3;viper","DoRothEA;ChEA3;VIPER",3,TRUE,FALSE,264,17,66,1,158,6,6,1,"DoRothEA(rank=39, P=0.15); ChEA3(rank=1); VIPER(rank=158)","JUN"
"DLD1","dorothea;chea3;viper","DoRothEA;ChEA3;VIPER",3,TRUE,TRUE,264,37,130.333333333333,42,244,6,6,244,"DoRothEA(rank=42, P=0.0391); ChEA3(rank=244); VIPER(rank=105)","E2F1"
"DLD1_HCT15","dorothea;chea3;viper","DoRothEA;ChEA3;VIPER",3,TRUE,FALSE,261,5,23,1,59,6,6,1,"DoRothEA(rank=9, P=0.00137); ChEA3(rank=1); VIPER(rank=59)","MAFF"
"DLD1_HCT15_SW48","dorothea;chea3;viper","DoRothEA;ChEA3;VIPER",3,TRUE,FALSE,263,8,37.3333333333333,1,89,6,6,1,"DoRothEA(rank=22, P=0.0269); ChEA3(rank=1); VIPER(rank=89)","JUN"
"HCT15","dorothea;chea3;viper","DoRothEA;ChEA3;VIPER",3,TRUE,TRUE,263,18,69,1,176,6,6,1,"DoRothEA(rank=30, P=0.00958); ChEA3(rank=1); VIPER(rank=176)","JUN"
"HT55","dorothea;chea3;viper","DoRothEA;ChEA3;VIPER",3,FALSE,FALSE,260,20,70.6666666666667,4,180,6,6,4,"DoRothEA(rank=28, P=0.0132); ChEA3(rank=4); VIPER(rank=180)","ESR1"
"RKO","dorothea;chea3;viper","DoRothEA;ChEA3;VIPER",3,TRUE,TRUE,255,53,173.333333333333,138,211,6,6,171,"DoRothEA(rank=138, P=0.185); ChEA3(rank=171); VIPER(rank=211)","E2F4"
"SW48","dorothea;chea3;viper","DoRothEA;ChEA3;VIPER",3,TRUE,FALSE,262,47,134.666666666667,75,207,6,6,122,"DoRothEA(rank=75, P=0.102); ChEA3(rank=122); VIPER(rank=207)","GRHL2"
"SW948","dorothea;chea3;viper","DoRothEA;ChEA3;VIPER",3,TRUE,FALSE,263,15,65,2,152,6,6,2,"DoRothEA(rank=41, P=0.0126); ChEA3(rank=2); VIPER(rank=152)","JUN"
"ALL","dorothea;chea3;enrichr","DoRothEA;ChEA3;ENRICHR",3,TRUE,FALSE,188,6,21.3333333333333,1,39,6,6,1,"DoRothEA(rank=39, P=0.15); ChEA3(rank=1); ENRICHR(rank=24, adjP=0.00482)","FOS"
"DLD1","dorothea;chea3;enrichr","DoRothEA;ChEA3;ENRICHR",3,TRUE,TRUE,213,31,138.333333333333,42,244,6,6,244,"DoRothEA(rank=42, P=0.0391); ChEA3(rank=244); ENRICHR(rank=129, adjP=0.0312)","FOXM1"
"DLD1_HCT15","dorothea;chea3;enrichr","DoRothEA;ChEA3;ENRICHR",3,TRUE,FALSE,198,1,4.66666666666667,1,9,6,6,1,"DoRothEA(rank=9, P=0.00137); ChEA3(rank=1); ENRICHR(rank=4, adjP=9.99e-05)","ATF3"
"DLD1_HCT15_SW48","dorothea;chea3;enrichr","DoRothEA;ChEA3;ENRICHR",3,TRUE,FALSE,192,2,11.6666666666667,1,22,6,6,1,"DoRothEA(rank=22, P=0.0269); ChEA3(rank=1); ENRICHR(rank=12, adjP=0.000136)","JUN"
"HCT15","dorothea;chea3;enrichr","DoRothEA;ChEA3;ENRICHR",3,TRUE,TRUE,208,2,12,1,30,6,6,1,"DoRothEA(rank=30, P=0.00958); ChEA3(rank=1); ENRICHR(rank=5, adjP=4.52e-16)","JUN"
"HT55","dorothea;chea3;enrichr","DoRothEA;ChEA3;ENRICHR",3,FALSE,FALSE,208,5,43.6666666666667,4,99,6,6,4,"DoRothEA(rank=28, P=0.0132); ChEA3(rank=4); ENRICHR(rank=99, adjP=0.00249)","ESR1"
"RKO","dorothea;chea3;enrichr","DoRothEA;ChEA3;ENRICHR",3,TRUE,TRUE,222,26,106,9,171,6,6,171,"DoRothEA(rank=138, P=0.185); ChEA3(rank=171); ENRICHR(rank=9, adjP=2.08e-14)","E2F1"
"SW48","dorothea;chea3;enrichr","DoRothEA;ChEA3;ENRICHR",3,TRUE,FALSE,204,19,78,37,122,6,6,122,"DoRothEA(rank=75, P=0.102); ChEA3(rank=122); ENRICHR(rank=37, adjP=6.51e-07)","SMAD3"
"SW948","dorothea;chea3;enrichr","DoRothEA;ChEA3;ENRICHR",3,TRUE,FALSE,205,4,26,2,41,6,6,2,"DoRothEA(rank=41, P=0.0126); ChEA3(rank=2); ENRICHR(rank=35, adjP=0.000155)","NFKB1"
"ALL","dorothea;chea3;trrust","DoRothEA;ChEA3;TRRUST",3,TRUE,FALSE,174,4,16.6666666666667,1,39,6,6,1,"DoRothEA(rank=39, P=0.15); ChEA3(rank=1); TRRUST(rank=10, P=0.00121)","FOS"
"DLD1","dorothea;chea3;trrust","DoRothEA;ChEA3;TRRUST",3,TRUE,TRUE,174,20,109.666666666667,42,244,6,6,244,"DoRothEA(rank=42, P=0.0391); ChEA3(rank=244); TRRUST(rank=43, P=0.0206)","E2F1"
"DLD1_HCT15","dorothea;chea3;trrust","DoRothEA;ChEA3;TRRUST",3,TRUE,FALSE,174,2,7.66666666666667,1,13,6,6,1,"DoRothEA(rank=9, P=0.00137); ChEA3(rank=1); TRRUST(rank=13, P=0.0102)","JUN"
"DLD1_HCT15_SW48","dorothea;chea3;trrust","DoRothEA;ChEA3;TRRUST",3,TRUE,FALSE,174,4,21.3333333333333,1,41,6,6,1,"DoRothEA(rank=22, P=0.0269); ChEA3(rank=1); TRRUST(rank=41, P=0.0786)","FOS"
"HCT15","dorothea;chea3;trrust","DoRothEA;ChEA3;TRRUST",3,TRUE,TRUE,174,8,40.3333333333333,1,90,6,6,1,"DoRothEA(rank=30, P=0.00958); ChEA3(rank=1); TRRUST(rank=90, P=0.0641)","JUN"
"HT55","dorothea;chea3;trrust","DoRothEA;ChEA3;TRRUST",3,FALSE,FALSE,174,3,29.6666666666667,4,57,6,6,4,"DoRothEA(rank=28, P=0.0132); ChEA3(rank=4); TRRUST(rank=57, P=0.034)","IRF9"
"RKO","dorothea;chea3;trrust","DoRothEA;ChEA3;TRRUST",3,TRUE,TRUE,174,33,146.333333333333,130,171,6,6,171,"DoRothEA(rank=138, P=0.185); ChEA3(rank=171); TRRUST(rank=130, P=0.185)","E2F1"
"SW48","dorothea;chea3;trrust","DoRothEA;ChEA3;TRRUST",3,TRUE,FALSE,174,37,119.666666666667,75,162,6,6,122,"DoRothEA(rank=75, P=0.102); ChEA3(rank=122); TRRUST(rank=162, P=0.305)","FOS"
"SW948","dorothea;chea3;trrust","DoRothEA;ChEA3;TRRUST",3,TRUE,FALSE,174,14,65.6666666666667,2,154,6,6,2,"DoRothEA(rank=41, P=0.0126); ChEA3(rank=2); TRRUST(rank=154, P=0.254)","NFKB1"
"ALL","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,FALSE,245,1,15,1,39,6,6,1,"DoRothEA(rank=39, P=0.15); ChEA3(rank=1); CollecTRI(rank=5, P=5e-06)","ATF3"
"DLD1","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,TRUE,243,14,107,35,244,6,6,244,"DoRothEA(rank=42, P=0.0391); ChEA3(rank=244); CollecTRI(rank=35, P=0.00577)","TFDP1"
"DLD1_HCT15","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,FALSE,243,1,6,1,9,6,6,1,"DoRothEA(rank=9, P=0.00137); ChEA3(rank=1); CollecTRI(rank=8, P=0.00101)","ATF3"
"DLD1_HCT15_SW48","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,FALSE,243,1,9.33333333333333,1,22,6,6,1,"DoRothEA(rank=22, P=0.0269); ChEA3(rank=1); CollecTRI(rank=5, P=1.4e-05)","ATF3"
"HCT15","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,TRUE,245,1,11,1,30,6,6,1,"DoRothEA(rank=30, P=0.00958); ChEA3(rank=1); CollecTRI(rank=2, P=4.63e-07)","ATF3"
"HT55","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,FALSE,FALSE,243,5,33.6666666666667,4,69,6,6,4,"DoRothEA(rank=28, P=0.0132); ChEA3(rank=4); CollecTRI(rank=69, P=0.00385)","HIF1A"
"RKO","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,TRUE,238,28,164.333333333333,138,184,6,6,171,"DoRothEA(rank=138, P=0.185); ChEA3(rank=171); CollecTRI(rank=184, P=0.0825)","E2F4"
"SW48","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,FALSE,240,10,81.3333333333333,47,122,6,6,122,"DoRothEA(rank=75, P=0.102); ChEA3(rank=122); CollecTRI(rank=47, P=0.0107)","SMAD3"
"SW948","dorothea;chea3;collectri","DoRothEA;ChEA3;CollecTRI",3,TRUE,FALSE,242,1,15,2,41,6,6,2,"DoRothEA(rank=41, P=0.0126); ChEA3(rank=2); CollecTRI(rank=2, P=1.6e-08)","ATF3"
"ALL","dorothea;viper;enrichr","DoRothEA;VIPER;ENRICHR",3,TRUE,FALSE,182,29,73.6666666666667,24,158,6,6,1,"DoRothEA(rank=39, P=0.15); VIPER(rank=158); ENRICHR(rank=24, adjP=0.00482)","ATF4"
"DLD1","dorothea;viper;enrichr","DoRothEA;VIPER;ENRICHR",3,TRUE,TRUE,206,36,92,42,129,6,6,244,"DoRothEA(rank=42, P=0.0391); VIPER(rank=105); ENRICHR(rank=129, adjP=0.0312)","E2F4"
"DLD1_HCT15","dorothea;viper;enrichr","DoRothEA;VIPER;ENRICHR",3,TRUE,FALSE,189,7,24,4,59,6,6,1,"DoRothEA(rank=9, P=0.00137); VIPER(rank=59); ENRICHR(rank=4, adjP=9.99e-05)","ATF4"
"DLD1_HCT15_SW48","dorothea;viper;enrichr","DoRothEA;VIPER;ENRICHR",3,TRUE,FALSE,186,12,41,12,89,6,6,1,"DoRothEA(rank=22, P=0.0269); VIPER(rank=89); ENRICHR(rank=12, adjP=0.000136)","JUN"
"HCT15","dorothea;viper;enrichr","DoRothEA;VIPER;ENRICHR",3,TRUE,TRUE,201,27,70.3333333333333,5,176,6,6,1,"DoRothEA(rank=30, P=0.00958); VIPER(rank=176); ENRICHR(rank=5, adjP=4.52e-16)","ATF4"
"HT55","dorothea;viper;enrichr","DoRothEA;VIPER;ENRICHR",3,FALSE,FALSE,199,55,102.333333333333,28,180,6,6,4,"DoRothEA(rank=28, P=0.0132); VIPER(rank=180); ENRICHR(rank=99, adjP=0.00249)","TP53"
"RKO","dorothea;viper;enrichr","DoRothEA;VIPER;ENRICHR",3,TRUE,TRUE,207,70,119.333333333333,9,211,6,6,171,"DoRothEA(rank=138, P=0.185); VIPER(rank=211); ENRICHR(rank=9, adjP=2.08e-14)","E2F4"
"SW48","dorothea;viper;enrichr","DoRothEA;VIPER;ENRICHR",3,TRUE,FALSE,197,59,106.333333333333,37,207,6,6,122,"DoRothEA(rank=75, P=0.102); VIPER(rank=207); ENRICHR(rank=37, adjP=6.51e-07)","TP53"
"SW948","dorothea;viper;enrichr","DoRothEA;VIPER;ENRICHR",3,TRUE,FALSE,200,35,76,35,152,6,6,2,"DoRothEA(rank=41, P=0.0126); VIPER(rank=152); ENRICHR(rank=35, adjP=0.000155)","ATF4"
"ALL","dorothea;viper;trrust","DoRothEA;VIPER;TRRUST",3,TRUE,FALSE,167,33,69,10,158,6,6,1,"DoRothEA(rank=39, P=0.15); VIPER(rank=158); TRRUST(rank=10, P=0.00121)","ATF4"
"DLD1","dorothea;viper;trrust","DoRothEA;VIPER;TRRUST",3,TRUE,TRUE,167,24,63.3333333333333,42,105,6,6,244,"DoRothEA(rank=42, P=0.0391); VIPER(rank=105); TRRUST(rank=43, P=0.0206)","E2F4"
"DLD1_HCT15","dorothea;viper;trrust","DoRothEA;VIPER;TRRUST",3,TRUE,FALSE,164,12,27,9,59,6,6,1,"DoRothEA(rank=9, P=0.00137); VIPER(rank=59); TRRUST(rank=13, P=0.0102)","ATF4"
"DLD1_HCT15_SW48","dorothea;viper;trrust","DoRothEA;VIPER;TRRUST",3,TRUE,FALSE,166,21,50.6666666666667,22,89,6,6,1,"DoRothEA(rank=22, P=0.0269); VIPER(rank=89); TRRUST(rank=41, P=0.0786)","NFKB1"
"HCT15","dorothea;viper;trrust","DoRothEA;VIPER;TRRUST",3,TRUE,TRUE,166,57,98.6666666666667,30,176,6,6,1,"DoRothEA(rank=30, P=0.00958); VIPER(rank=176); TRRUST(rank=90, P=0.0641)","ATF4"
"HT55","dorothea;viper;trrust","DoRothEA;VIPER;TRRUST",3,FALSE,FALSE,163,54,88.3333333333333,28,180,6,6,4,"DoRothEA(rank=28, P=0.0132); VIPER(rank=180); TRRUST(rank=57, P=0.034)","ATF4"
"RKO","dorothea;viper;trrust","DoRothEA;VIPER;TRRUST",3,TRUE,TRUE,159,101,159.666666666667,130,211,6,6,171,"DoRothEA(rank=138, P=0.185); VIPER(rank=211); TRRUST(rank=130, P=0.185)","E2F4"
"SW48","dorothea;viper;trrust","DoRothEA;VIPER;TRRUST",3,TRUE,FALSE,165,92,148,75,207,6,6,122,"DoRothEA(rank=75, P=0.102); VIPER(rank=207); TRRUST(rank=162, P=0.305)","TP53"
"SW948","dorothea;viper;trrust","DoRothEA;VIPER;TRRUST",3,TRUE,FALSE,166,71,115.666666666667,41,154,6,6,2,"DoRothEA(rank=41, P=0.0126); VIPER(rank=152); TRRUST(rank=154, P=0.254)","ATF4"
"ALL","dorothea;viper;collectri","DoRothEA;VIPER;CollecTRI",3,TRUE,FALSE,238,15,67.3333333333333,5,158,6,6,1,"DoRothEA(rank=39, P=0.15); VIPER(rank=158); CollecTRI(rank=5, P=5e-06)","ATF4"
"DLD1","dorothea;viper;collectri","DoRothEA;VIPER;CollecTRI",3,TRUE,TRUE,236,19,60.6666666666667,35,105,6,6,244,"DoRothEA(rank=42, P=0.0391); VIPER(rank=105); CollecTRI(rank=35, P=0.00577)","E2F4"
"DLD1_HCT15","dorothea;viper;collectri","DoRothEA;VIPER;CollecTRI",3,TRUE,FALSE,233,7,25.3333333333333,8,59,6,6,1,"DoRothEA(rank=9, P=0.00137); VIPER(rank=59); CollecTRI(rank=8, P=0.00101)","ATF4"
"DLD1_HCT15_SW48","dorothea;viper;collectri","DoRothEA;VIPER;CollecTRI",3,TRUE,FALSE,235,9,38.6666666666667,5,89,6,6,1,"DoRothEA(rank=22, P=0.0269); VIPER(rank=89); CollecTRI(rank=5, P=1.4e-05)","STAT1"
"HCT15","dorothea;viper;collectri","DoRothEA;VIPER;CollecTRI",3,TRUE,TRUE,237,29,69.3333333333333,2,176,6,6,1,"DoRothEA(rank=30, P=0.00958); VIPER(rank=176); CollecTRI(rank=2, P=4.63e-07)","ATF4"
"HT55","dorothea;viper;collectri","DoRothEA;VIPER;CollecTRI",3,FALSE,FALSE,232,43,92.3333333333333,28,180,6,6,4,"DoRothEA(rank=28, P=0.0132); VIPER(rank=180); CollecTRI(rank=69, P=0.00385)","HIF1A"
"RKO","dorothea;viper;collectri","DoRothEA;VIPER;CollecTRI",3,TRUE,TRUE,222,103,177.666666666667,138,211,6,6,171,"DoRothEA(rank=138, P=0.185); VIPER(rank=211); CollecTRI(rank=184, P=0.0825)","E2F4"
"SW48","dorothea;viper;collectri","DoRothEA;VIPER;CollecTRI",3,TRUE,FALSE,231,44,109.666666666667,47,207,6,6,122,"DoRothEA(rank=75, P=0.102); VIPER(rank=207); CollecTRI(rank=47, P=0.0107)","SMAD3"
"SW948","dorothea;viper;collectri","DoRothEA;VIPER;CollecTRI",3,TRUE,FALSE,234,19,65,2,152,6,6,2,"DoRothEA(rank=41, P=0.0126); VIPER(rank=152); CollecTRI(rank=2, P=1.6e-08)","HIF1A"
"ALL","dorothea;enrichr;trrust","DoRothEA;ENRICHR;TRRUST",3,TRUE,FALSE,142,10,24.3333333333333,10,39,6,6,1,"DoRothEA(rank=39, P=0.15); ENRICHR(rank=24, adjP=0.00482); TRRUST(rank=10, P=0.00121)","CEBPB"
"DLD1","dorothea;enrichr;trrust","DoRothEA;ENRICHR;TRRUST",3,TRUE,TRUE,160,28,71.3333333333333,42,129,6,6,244,"DoRothEA(rank=42, P=0.0391); ENRICHR(rank=129, adjP=0.0312); TRRUST(rank=43, P=0.0206)","E2F4"
"DLD1_HCT15","dorothea;enrichr;trrust","DoRothEA;ENRICHR;TRRUST",3,TRUE,FALSE,149,4,8.66666666666667,4,13,6,6,1,"DoRothEA(rank=9, P=0.00137); ENRICHR(rank=4, adjP=9.99e-05); TRRUST(rank=13, P=0.0102)","ATF4"
"DLD1_HCT15_SW48","dorothea;enrichr;trrust","DoRothEA;ENRICHR;TRRUST",3,TRUE,FALSE,143,10,25,12,41,6,6,1,"DoRothEA(rank=22, P=0.0269); ENRICHR(rank=12, adjP=0.000136); TRRUST(rank=41, P=0.0786)","NFKB1"
"HCT15","dorothea;enrichr;trrust","DoRothEA;ENRICHR;TRRUST",3,TRUE,TRUE,158,18,41.6666666666667,5,90,6,6,1,"DoRothEA(rank=30, P=0.00958); ENRICHR(rank=5, adjP=4.52e-16); TRRUST(rank=90, P=0.0641)","ATF4"
"HT55","dorothea;enrichr;trrust","DoRothEA;ENRICHR;TRRUST",3,FALSE,FALSE,157,30,61.3333333333333,28,99,6,6,4,"DoRothEA(rank=28, P=0.0132); ENRICHR(rank=99, adjP=0.00249); TRRUST(rank=57, P=0.034)","SP3"
"RKO","dorothea;enrichr;trrust","DoRothEA;ENRICHR;TRRUST",3,TRUE,TRUE,166,42,92.3333333333333,9,138,6,6,171,"DoRothEA(rank=138, P=0.185); ENRICHR(rank=9, adjP=2.08e-14); TRRUST(rank=130, P=0.185)","TP53"
"SW48","dorothea;enrichr;trrust","DoRothEA;ENRICHR;TRRUST",3,TRUE,FALSE,154,48,91.3333333333333,37,162,6,6,122,"DoRothEA(rank=75, P=0.102); ENRICHR(rank=37, adjP=6.51e-07); TRRUST(rank=162, P=0.305)","TP53"
"SW948","dorothea;enrichr;trrust","DoRothEA;ENRICHR;TRRUST",3,TRUE,FALSE,155,36,76.6666666666667,35,154,6,6,2,"DoRothEA(rank=41, P=0.0126); ENRICHR(rank=35, adjP=0.000155); TRRUST(rank=154, P=0.254)","RELA"
"ALL","dorothea;enrichr;collectri","DoRothEA;ENRICHR;CollecTRI",3,TRUE,FALSE,179,5,22.6666666666667,5,39,6,6,1,"DoRothEA(rank=39, P=0.15); ENRICHR(rank=24, adjP=0.00482); CollecTRI(rank=5, P=5e-06)","ATF4"
"DLD1","dorothea;enrichr;collectri","DoRothEA;ENRICHR;CollecTRI",3,TRUE,TRUE,203,12,68.6666666666667,35,129,6,6,244,"DoRothEA(rank=42, P=0.0391); ENRICHR(rank=129, adjP=0.0312); CollecTRI(rank=35, P=0.00577)","E2F4"
"DLD1_HCT15","dorothea;enrichr;collectri","DoRothEA;ENRICHR;CollecTRI",3,TRUE,FALSE,188,2,7,4,9,6,6,1,"DoRothEA(rank=9, P=0.00137); ENRICHR(rank=4, adjP=9.99e-05); CollecTRI(rank=8, P=0.00101)","ATF4"
"DLD1_HCT15_SW48","dorothea;enrichr;collectri","DoRothEA;ENRICHR;CollecTRI",3,TRUE,FALSE,182,1,13,5,22,6,6,1,"DoRothEA(rank=22, P=0.0269); ENRICHR(rank=12, adjP=0.000136); CollecTRI(rank=5, P=1.4e-05)","ATF3"
"HCT15","dorothea;enrichr;collectri","DoRothEA;ENRICHR;CollecTRI",3,TRUE,TRUE,199,2,12.3333333333333,2,30,6,6,1,"DoRothEA(rank=30, P=0.00958); ENRICHR(rank=5, adjP=4.52e-16); CollecTRI(rank=2, P=4.63e-07)","ATF4"
"HT55","dorothea;enrichr;collectri","DoRothEA;ENRICHR;CollecTRI",3,FALSE,FALSE,199,20,65.3333333333333,28,99,6,6,4,"DoRothEA(rank=28, P=0.0132); ENRICHR(rank=99, adjP=0.00249); CollecTRI(rank=69, P=0.00385)","HIF1A"
"RKO","dorothea;enrichr;collectri","DoRothEA;ENRICHR;CollecTRI",3,TRUE,TRUE,210,28,110.333333333333,9,184,6,6,171,"DoRothEA(rank=138, P=0.185); ENRICHR(rank=9, adjP=2.08e-14); CollecTRI(rank=184, P=0.0825)","E2F4"
"SW48","dorothea;enrichr;collectri","DoRothEA;ENRICHR;CollecTRI",3,TRUE,FALSE,193,9,53,37,75,6,6,122,"DoRothEA(rank=75, P=0.102); ENRICHR(rank=37, adjP=6.51e-07); CollecTRI(rank=47, P=0.0107)","SMAD3"
"SW948","dorothea;enrichr;collectri","DoRothEA;ENRICHR;CollecTRI",3,TRUE,FALSE,195,5,26,2,41,6,6,2,"DoRothEA(rank=41, P=0.0126); ENRICHR(rank=35, adjP=0.000155); CollecTRI(rank=2, P=1.6e-08)","ATF4"
"ALL","dorothea;trrust;collectri","DoRothEA;TRRUST;CollecTRI",3,TRUE,FALSE,172,3,18,5,39,6,6,1,"DoRothEA(rank=39, P=0.15); TRRUST(rank=10, P=0.00121); CollecTRI(rank=5, P=5e-06)","ATF4"
"DLD1","dorothea;trrust;collectri","DoRothEA;TRRUST;CollecTRI",3,TRUE,TRUE,172,11,40,35,43,6,6,244,"DoRothEA(rank=42, P=0.0391); TRRUST(rank=43, P=0.0206); CollecTRI(rank=35, P=0.00577)","E2F4"
"DLD1_HCT15","dorothea;trrust;collectri","DoRothEA;TRRUST;CollecTRI",3,TRUE,FALSE,172,2,10,8,13,6,6,1,"DoRothEA(rank=9, P=0.00137); TRRUST(rank=13, P=0.0102); CollecTRI(rank=8, P=0.00101)","ATF4"
"DLD1_HCT15_SW48","dorothea;trrust;collectri","DoRothEA;TRRUST;CollecTRI",3,TRUE,FALSE,172,5,22.6666666666667,5,41,6,6,1,"DoRothEA(rank=22, P=0.0269); TRRUST(rank=41, P=0.0786); CollecTRI(rank=5, P=1.4e-05)","STAT1"
"HCT15","dorothea;trrust;collectri","DoRothEA;TRRUST;CollecTRI",3,TRUE,TRUE,172,12,40.6666666666667,2,90,6,6,1,"DoRothEA(rank=30, P=0.00958); TRRUST(rank=90, P=0.0641); CollecTRI(rank=2, P=4.63e-07)","ATF4"
"HT55","dorothea;trrust;collectri","DoRothEA;TRRUST;CollecTRI",3,FALSE,FALSE,171,16,51.3333333333333,28,69,6,6,4,"DoRothEA(rank=28, P=0.0132); TRRUST(rank=57, P=0.034); CollecTRI(rank=69, P=0.00385)","VDR"
"RKO","dorothea;trrust;collectri","DoRothEA;TRRUST;CollecTRI",3,TRUE,TRUE,170,49,150.666666666667,130,184,6,6,171,"DoRothEA(rank=138, P=0.185); TRRUST(rank=130, P=0.185); CollecTRI(rank=184, P=0.0825)","E2F4"
"SW48","dorothea;trrust;collectri","DoRothEA;TRRUST;CollecTRI",3,TRUE,FALSE,170,33,94.6666666666667,47,162,6,6,122,"DoRothEA(rank=75, P=0.102); TRRUST(rank=162, P=0.305); CollecTRI(rank=47, P=0.0107)","SMAD3"
"SW948","dorothea;trrust;collectri","DoRothEA;TRRUST;CollecTRI",3,TRUE,FALSE,171,18,65.6666666666667,2,154,6,6,2,"DoRothEA(rank=41, P=0.0126); TRRUST(rank=154, P=0.254); CollecTRI(rank=2, P=1.6e-08)","ATF4"
"ALL","chea3;viper;enrichr","ChEA3;VIPER;ENRICHR",3,TRUE,FALSE,182,11,61,1,158,6,6,1,"ChEA3(rank=1); VIPER(rank=158); ENRICHR(rank=24, adjP=0.00482)","JUN"
"DLD1","chea3;viper;enrichr","ChEA3;VIPER;ENRICHR",3,TRUE,TRUE,206,33,159.333333333333,105,244,6,6,244,"ChEA3(rank=244); VIPER(rank=105); ENRICHR(rank=129, adjP=0.0312)","E2F4"
"DLD1_HCT15","chea3;viper;enrichr","ChEA3;VIPER;ENRICHR",3,TRUE,FALSE,189,3,21.3333333333333,1,59,6,6,1,"ChEA3(rank=1); VIPER(rank=59); ENRICHR(rank=4, adjP=9.99e-05)","JUN"
"DLD1_HCT15_SW48","chea3;viper;enrichr","ChEA3;VIPER;ENRICHR",3,TRUE,FALSE,186,5,34,1,89,6,6,1,"ChEA3(rank=1); VIPER(rank=89); ENRICHR(rank=12, adjP=0.000136)","JUN"
"HCT15","chea3;viper;enrichr","ChEA3;VIPER;ENRICHR",3,TRUE,TRUE,201,13,60.6666666666667,1,176,6,6,1,"ChEA3(rank=1); VIPER(rank=176); ENRICHR(rank=5, adjP=4.52e-16)","NFKB1"
"HT55","chea3;viper;enrichr","ChEA3;VIPER;ENRICHR",3,FALSE,FALSE,199,27,94.3333333333333,4,180,6,6,4,"ChEA3(rank=4); VIPER(rank=180); ENRICHR(rank=99, adjP=0.00249)","CEBPB"
"RKO","chea3;viper;enrichr","ChEA3;VIPER;ENRICHR",3,TRUE,TRUE,207,31,130.333333333333,9,211,6,6,171,"ChEA3(rank=171); VIPER(rank=211); ENRICHR(rank=9, adjP=2.08e-14)","E2F4"
"SW48","chea3;viper;enrichr","ChEA3;VIPER;ENRICHR",3,TRUE,FALSE,197,26,122,37,207,6,6,122,"ChEA3(rank=122); VIPER(rank=207); ENRICHR(rank=37, adjP=6.51e-07)","TP63"
"SW948","chea3;viper;enrichr","ChEA3;VIPER;ENRICHR",3,TRUE,FALSE,200,14,63,2,152,6,6,2,"ChEA3(rank=2); VIPER(rank=152); ENRICHR(rank=35, adjP=0.000155)","FOS"
"ALL","chea3;viper;trrust","ChEA3;VIPER;TRRUST",3,TRUE,FALSE,167,10,56.3333333333333,1,158,6,6,1,"ChEA3(rank=1); VIPER(rank=158); TRRUST(rank=10, P=0.00121)","JUN"
"DLD1","chea3;viper;trrust","ChEA3;VIPER;TRRUST",3,TRUE,TRUE,167,25,130.666666666667,43,244,6,6,244,"ChEA3(rank=244); VIPER(rank=105); TRRUST(rank=43, P=0.0206)","E2F1"
"DLD1_HCT15","chea3;viper;trrust","ChEA3;VIPER;TRRUST",3,TRUE,FALSE,164,4,24.3333333333333,1,59,6,6,1,"ChEA3(rank=1); VIPER(rank=59); TRRUST(rank=13, P=0.0102)","JUN"
