"Analysis_Name","Methods","Method_Labels","Method_Count","DEG_ATF3_Primary_Significant","DEG_ATF3_FDR_Significant","Intersected_TF_Count","ATF3_Consensus_Rank","ATF3_Mean_Selected_Rank","ATF3_Best_Selected_Rank","ATF3_Worst_Selected_Rank","ATF3_Source_Method_Count","ATF3_CheA3_Library_Count","ATF3_CheA3_Integrated_TopRank","ATF3_Method_Details","Top1_TF"
"DLD1_HCT15_SW48","dorothea;trrust","DoRothEA;TRRUST",2,TRUE,FALSE,174,21,31.5,22,41,6,6,1,"DoRothEA(rank=22, P=0.0269); TRRUST(rank=41, P=0.0786)","NFKB1"
"HCT15","dorothea;trrust","DoRothEA;TRRUST",2,TRUE,TRUE,174,37,60,30,90,6,6,1,"DoRothEA(rank=30, P=0.00958); TRRUST(rank=90, P=0.0641)","ATF4"
"HT55","dorothea;trrust","DoRothEA;TRRUST",2,FALSE,FALSE,174,27,42.5,28,57,6,6,4,"DoRothEA(rank=28, P=0.0132); TRRUST(rank=57, P=0.034)","SP3"
"RKO","dorothea;trrust","DoRothEA;TRRUST",2,TRUE,TRUE,174,84,134,130,138,6,6,171,"DoRothEA(rank=138, P=0.185); TRRUST(rank=130, P=0.185)","TP53"
"SW48","dorothea;trrust","DoRothEA;TRRUST",2,TRUE,FALSE,174,78,118.5,75,162,6,6,122,"DoRothEA(rank=75, P=0.102); TRRUST(rank=162, P=0.305)","TP53"
"SW948","dorothea;trrust","DoRothEA;TRRUST",2,TRUE,FALSE,174,57,97.5,41,154,6,6,2,"DoRothEA(rank=41, P=0.0126); TRRUST(rank=154, P=0.254)","NFKB1"
"ALL","dorothea;collectri","DoRothEA;CollecTRI",2,TRUE,FALSE,245,4,22,5,39,6,6,1,"DoRothEA(rank=39, P=0.15); CollecTRI(rank=5, P=5e-06)","ATF4"
"DLD1","dorothea;collectri","DoRothEA;CollecTRI",2,TRUE,TRUE,243,13,38.5,35,42,6,6,244,"DoRothEA(rank=42, P=0.0391); CollecTRI(rank=35, P=0.00577)","E2F4"
"DLD1_HCT15","dorothea;collectri","DoRothEA;CollecTRI",2,TRUE,FALSE,243,3,8.5,8,9,6,6,1,"DoRothEA(rank=9, P=0.00137); CollecTRI(rank=8, P=0.00101)","ATF4"
"DLD1_HCT15_SW48","dorothea;collectri","DoRothEA;CollecTRI",2,TRUE,FALSE,243,3,13.5,5,22,6,6,1,"DoRothEA(rank=22, P=0.0269); CollecTRI(rank=5, P=1.4e-05)","STAT1"
"HCT15","dorothea;collectri","DoRothEA;CollecTRI",2,TRUE,TRUE,245,4,16,2,30,6,6,1,"DoRothEA(rank=30, P=0.00958); CollecTRI(rank=2, P=4.63e-07)","ATF4"
"HT55","dorothea;collectri","DoRothEA;CollecTRI",2,FALSE,FALSE,243,13,48.5,28,69,6,6,4,"DoRothEA(rank=28, P=0.0132); CollecTRI(rank=69, P=0.00385)","HIF1A"
"RKO","dorothea;collectri","DoRothEA;CollecTRI",2,TRUE,TRUE,238,70,161,138,184,6,6,171,"DoRothEA(rank=138, P=0.185); CollecTRI(rank=184, P=0.0825)","E2F4"
"SW48","dorothea;collectri","DoRothEA;CollecTRI",2,TRUE,FALSE,240,19,61,47,75,6,6,122,"DoRothEA(rank=75, P=0.102); CollecTRI(rank=47, P=0.0107)","SMAD3"
"SW948","dorothea;collectri","DoRothEA;CollecTRI",2,TRUE,FALSE,242,4,21.5,2,41,6,6,2,"DoRothEA(rank=41, P=0.0126); CollecTRI(rank=2, P=1.6e-08)","FOXO3"
"ALL","chea3;viper","ChEA3;VIPER",2,TRUE,FALSE,264,24,79.5,1,158,6,6,1,"ChEA3(rank=1); VIPER(rank=158)","MAFF"
"DLD1","chea3;viper","ChEA3;VIPER",2,TRUE,TRUE,264,50,174.5,105,244,6,6,244,"ChEA3(rank=244); VIPER(rank=105)","TFDP1"
"DLD1_HCT15","chea3;viper","ChEA3;VIPER",2,TRUE,FALSE,261,6,30,1,59,6,6,1,"ChEA3(rank=1); VIPER(rank=59)","MAFF"
"DLD1_HCT15_SW48","chea3;viper","ChEA3;VIPER",2,TRUE,FALSE,263,9,45,1,89,6,6,1,"ChEA3(rank=1); VIPER(rank=89)","MAFK"
"HCT15","chea3;viper","ChEA3;VIPER",2,TRUE,TRUE,263,20,88.5,1,176,6,6,1,"ChEA3(rank=1); VIPER(rank=176)","NFKB1"
"HT55","chea3;viper","ChEA3;VIPER",2,FALSE,FALSE,260,28,92,4,180,6,6,4,"ChEA3(rank=4); VIPER(rank=180)","ESR1"
"RKO","chea3;viper","ChEA3;VIPER",2,TRUE,TRUE,255,51,191,171,211,6,6,171,"ChEA3(rank=171); VIPER(rank=211)","E2F2"
"SW48","chea3;viper","ChEA3;VIPER",2,TRUE,FALSE,262,55,164.5,122,207,6,6,122,"ChEA3(rank=122); VIPER(rank=207)","GRHL2"
"SW948","chea3;viper","ChEA3;VIPER",2,TRUE,FALSE,263,20,77,2,152,6,6,2,"ChEA3(rank=2); VIPER(rank=152)","FOS"
"ALL","chea3;enrichr","ChEA3;ENRICHR",2,TRUE,FALSE,251,3,12.5,1,24,6,6,1,"ChEA3(rank=1); ENRICHR(rank=24, adjP=0.00482)","FOS"
"DLD1","chea3;enrichr","ChEA3;ENRICHR",2,TRUE,TRUE,335,48,186.5,129,244,6,6,244,"ChEA3(rank=244); ENRICHR(rank=129, adjP=0.0312)","FOXM1"
"DLD1_HCT15","chea3;enrichr","ChEA3;ENRICHR",2,TRUE,FALSE,287,1,2.5,1,4,6,6,1,"ChEA3(rank=1); ENRICHR(rank=4, adjP=9.99e-05)","ATF3"
"DLD1_HCT15_SW48","chea3;enrichr","ChEA3;ENRICHR",2,TRUE,FALSE,267,1,6.5,1,12,6,6,1,"ChEA3(rank=1); ENRICHR(rank=12, adjP=0.000136)","ATF3"
"HCT15","chea3;enrichr","ChEA3;ENRICHR",2,TRUE,TRUE,329,1,3,1,5,6,6,1,"ChEA3(rank=1); ENRICHR(rank=5, adjP=4.52e-16)","ATF3"
"HT55","chea3;enrichr","ChEA3;ENRICHR",2,FALSE,FALSE,309,10,51.5,4,99,6,6,4,"ChEA3(rank=4); ENRICHR(rank=99, adjP=0.00249)","SOX2"
