"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"CD8_c0_t_Teff","0.0000000000000000000000000000000000000000000000000008234110764673749","0.630559285370321687","0.0000000000000000000000000000000000000000000000002569042558578210","51.08438329520068066","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c4_Tstr","0.0000000000000000000000000000000000000000000000000020775734899025458","0.628606971512141843","0.0000000000000000000000000000000000000000000000003241014644247971","50.68244360499527801","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c0_Tcm","0.0000000000000000000000000000000000000021020533287441446276348507174","0.562995212531498201","0.0000000000000000000000000000000000002186135461893910621549987722","38.67735627018907252","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr","0.0000000000000000000000000000000000002319783744983704149258280762724","0.550182300889465292","0.0000000000000000000000000000000000180943132108728913619278236647","36.63455249904778555","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_exhaustion_Peng_et_al","0.0000000000000000000000019131980287799837740466533385963879839912147","0.453348807464272308","0.0000000000000000000001193835569958709951412244486732834119978393","23.71824007526527112","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_11_CCL4","0.0000000000000000000000111204067883796325173722955684966490039726058","0.446520104055462275","0.0000000000000000000005782611529957408791484158613389506685192101","22.95387932581895285","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_10_SPP1","0.0000000000000000000006043647502279923125772746660541748872250455966","0.430420043670681263","0.0000000000000000000269374002958762262097880667397952060592030021","21.21870087396224491","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c11_Teff_SEMA4A","0.0000000000000000222333787430548884793042021233868512716515729256330","0.383378643151423115","0.0000000000000008671017709791406691817913489295513889317995929150","16.65299453379390826","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_06_PTGS2","0.0000000000000000354514761069410802755413546041724504786473570880009","0.381106315432770348","0.0000000000000012135045640014942442692183467964603826877044087662","16.45036567721567167","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"GPAGs","0.0000000000000000388943770513299454648527429724686539982065151268512","0.380652792605030044","0.0000000000000012135045640014942442692183467964603826877044087662","16.41011317996199637","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Interleukins_Li_et_al","0.0000000000000006138120726875065479549960346914857097742483681493408","0.366817034113579410","0.0000000000000174099424253183671117084846816066099071994635605343","15.21196457395241453","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mono_like_01_CD14","0.0000000000000010179913171976319428611826577176123422192877132630429","0.364206093002754305","0.0000000000000264677742471384305143907491006579208977014805448391","14.99225592623230341","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_08_CD74","0.0000000000000029100609872125051828710408548032467415379821382148684","0.358707765686666680","0.0000000000000698414636931001243889049805152779217969115713171568","14.53609790925041167","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_accumulation_Peng_et_al","0.0000000000000066443323957060604822676293022158395873544138067468001","0.354309995592165750","0.0000000000001480736933900207624878568462486010149389923512552869","14.17754864924743430","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_05_ELL2","0.0000000000000073767566644993117515776866539483240861867913151783682","0.353748060425547073","0.0000000000001534365386215856945302354692310762502628108949753738","14.13213454228490207","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mph_02_CCL20","0.0000000000000302451414499418510658194309545391940222971126350781645","0.346053841822448360","0.0000000000005897802582738660800062607991932781752002223907282996","13.51934438005113925","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c6_Tcm","0.0000000000000432553098696914705967763329651567574525659193307447481","0.344068787692715317","0.0000000000007938621576084551775529793493419305637406185871540742","13.36396057246368230","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_07_APOA2","0.0000000000000488113257646138678390414266998071617995719716220914819","0.343395127941847178","0.0000000000008460629799199736839665024290576130313506000857337597","13.31147939630912624","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Th1_cells_Bindea_et_al","0.0000000000001551706100913410686895702437199658386686278166433083925","0.336863634858070304","0.0000000000025480647551841273628154974532188448209206466099630006","12.80919053232938509","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mast","0.0000000000002095003510504928631488809275951739999365504990569419874","0.335142795993711828","0.0000000000032682054763876884530767311470767411043375494372753565","12.67881524496897860","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c8_Tf17","0.0000000000004309195622793187698627443197856006363698905259340676821","0.330964143669916944","0.0000000000064022334967213075533598537434312221320112379352451626","12.36560378997494425","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_09_IFIT1","0.0000000000006260719659446320002677333069007428083610489188970404939","0.328774494691489838","0.0000000000088788387897602353464174661901137748307166752681496291","12.20337574248246426","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_T_cells_Bindea_et_al","0.0000000000019337696644391047776513358845368133458880732788998102478","0.322054840591821823","0.0000000000262320058828261155789336573096887919240294273492963839","11.71359525694404624","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Release_of_cancer_cell_antigens","0.0000000000026467134452041430331573866338875337814520727341971451096","0.320154758295263742","0.0000000000344072747876538618544267270794862053837070980932821840","11.57729307641807104","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c1_Treg","0.0000000000039087442307364383558177080472936023181756981514922699716","0.317775419572312701","0.0000000000487811279995907493881352893161184149442566315713065705","11.40796274676242383","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_regulatory_Peng_et_al","0.0000000000136245271963173595060886125119022711967009531264238830772","0.310009860299681805","0.0000000001634943263558083269977604212838846742261722511102561839","10.86567855984714903","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Infiltration_of_immune_cells_into_tumors_1","0.0000000000209567887423773049703399187661793543965838004794477456016","0.307278404414968287","0.0000000002421673365785821965126822040274313929675287226928048767","10.67867526454667804","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Cyclooxygenase_Arachidonic_Acid_Metabolism","0.0000000000236437358575288541590956126929259526955884318510925368173","0.306508052578073453","0.0000000002634587709838929149556582258071783103625662647573335562","10.62628390113580679","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Antimicrobials_Li_et_al","0.0000000000381591254368865811382898034860897780104482812646438105730","0.303428938323443309","0.0000000004105395564244349419016006444020693358365470260196161689","10.41840158738216360","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"DC_05_LILRA4","0.0000000000551003773386351737251264552721832399792556422823963657720","0.301040809410853483","0.0000000005730439243218058119111939632871286637305630051741900388","10.25884542700073965","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Cancer_antigen_presentation_1","0.0000000001142578469550921635765702337735418882280757912894841865636","0.296234231801122627","0.0000000011373320508353373088379660303432090728836811877044965513","9.94211396392970315","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c6_Tn_FHIT","0.0000000001166494411113166543511589663198999879123451961504542850889","0.296096391436062201","0.0000000011373320508353373088379660303432090728836811877044965513","9.93311733764907601","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TCR_signaling_Pathway_Li_et_al","0.0000000001538012205555713166476152907970382545388421391407973715104","0.294249559853547782","0.0000000014541206307072198338293553702212264344684200523261097260","9.81304021799072501","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c3_Tfh","0.0000000001997704420066136275469744698282410083622906427081034053117","0.292490502773368521","0.0000000018331875854724543915621822625684755880826060092658735812","9.69946876947864212","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CMLS_Review_Exosome","0.0000000002111564318658934784056961299510395829726050465069420170039","0.292116091652377341","0.0000000018823087640616790547696690757365628465791473900026176125","9.67539568534339267","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"DC_03_LAMP3","0.0000000002538996130259905573971515700145264518572396639228827552870","0.290866992965300386","0.0000000022004633128919178539159172327405178393178175610955804586","9.59533796104358849","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c12_Trm","0.0000000005557874522717228375268762532058087338926455345244903583080","0.285488925634995616","0.0000000046866401380750676479596987045531109039586681319633498788","9.25509126229176182","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"WNT_target","0.0000000005742448043653003615878981781659329969302874019376758951694","0.285262164221125492","0.0000000047148520779466770230919643418221465225315114366821944714","9.24090292551158221","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Killing_of_cancer_cells_2","0.0000000008237087766234213246013175545930540960570809261298563797027","0.282744475556903130","0.0000000065896702129873705968105404367444327684566474090388510376","9.08422630658058061","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"DC_02_CD1C","0.0000000009306673491479813620120819553339312074635714111536799464375","0.281886731399831336","0.0000000072592053233542542307834482889165178542967282737663481385","9.03120552228956974","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Hu_hypoxia_signature","0.0000000011228479382231786451815009304842744863872638916291180066764","0.280562088039481961","0.0000000085445989445276031469468820678248022204570588655769824982","8.94967905412330467","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"TIP_Trafficking_of_immune_cells_to_tumors","0.0000000012498915892499049307070347299207339897275659268416347913444","0.279802564697069656","0.0000000092849089487135803124328705467245559379563246693578548729","8.90312765437782261","****","IOBR::batch_cor","<0.001","<0.001","***","***"
