term_id	term_name	p_value	term_size	intersection_size	intersection
GOBP_TYPE_I_INTERFERON_PRODUCTION	GOBP_TYPE_I_INTERFERON_PRODUCTION	1.4212725361e-06	135	55	RNF135,OAS1,SYK,DTX4,PBLD,CGAS,GSK3B,TICAM1,MAVS,OAS3,TRAF3,XIAP,RNF125,CUL3,OAS2,RIGI,ARRDC4,HMGB1,HSP90AA1,LTB,MYD88,PTPN22,NMI,LILRA4,TLR4,PYCARD,POLA1,NLRC3,IFIH1,ATG5,HSPD1,RIOK3,PPM1B,PLCG2,CLEC12A,STAT1,DDX3X,ZC3HAV1,IL10,IRF8,TRIM15,LTA,ITCH,TLR3,MMP12,IKBKE,UFD1,RELB,LILRB1,TLR8,HMGB2,TRAF3IP3,HAVCR2,OTUD5,IRF7
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	GOBP_COLLAGEN_FIBRIL_ORGANIZATION	1.61272864538e-05	75	38	COL1A2,VIPAS39,COL5A3,SELENON,EFEMP2,COL5A1,FKBP10,P3H1,COL3A1,SCX,LOX,LOXL3,LOXL1,COL4A1,ADAMTS2,COL12A1,PLOD1,ADAMTS19,COL2A1,EMILIN1,COL4A2,COLGALT2,LOXL4,PXDN,TLL2,COL5A2,DDR2,CRTAP,COL14A1,DPT,COL28A1,COL6A1,FOXC1,AEBP1,GREM1,CYP1B1,FMOD,TNXB
GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	0.0002053646652718	41	17	IRS2,CDKN1A,PELI1,CARD11,TICAM1,SASH3,GPR183,TNFRSF13C,SLC39A10,PTPRC,CD38,TLR4,CD74,ADA,FCRL3,BTK,VAV3
GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE	2.26229302692e-05	87	36	OAS1,DUSP10,DTX4,SFN,KLRD1,PPARG,TNFAIP3,PIM1,CEP63,LGALS9,INPP5D,OAS3,NR1H3,ZDHHC18,NMI,CR1,SERPINB9,NLRC3,ADAR,PTPN6,YWHAZ,NLRC5,ATG5,CD96,HLA-G,HLA-A,HLA-B,USP18,MMP12,LILRB1,DRD2,HAVCR2,CEACAM1,AURKB,GRB2,KLRC1
GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	7.11023727784e-05	54	29	ENG,MAPK12,CAMK1,EFEMP2,KIT,MMP14,NOTCH2,NOTCH4,KAT2A,TBX1,NID1,NOTCH1,TRIM32,MAPK11,MYOCD,GPER1,MTOR,OLFM2,AKAP6,BMP4,PRKD1,LAMC1,SMARCD3,LAMB2,LAMA2,PIEZO1,RBM24,LAMA1,LAMB1
GOBP_NEGATIVE_T_CELL_SELECTION	GOBP_NEGATIVE_T_CELL_SELECTION	0.0005479071016164	12	10	CD3E,SHH,SPN,THEMIS,PTPRC,CD74,DOCK2,ZAP70,ATG5,CD28
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS	7.99040367792e-05	70	30	ZFP36,OAS1,IL32,LTF,CCL5,PLSCR1,MAVS,OAS3,IFITM1,OAS2,N4BP1,OASL,TRIM14,TNIP1,SP100,APOBEC3B,MX1,IFIH1,INPP5K,CH25H,STAT1,ZC3HAV1,TRIM15,TRIM31,PPIA,EIF2AK2,APOBEC3G,SRPK1,BST2,ARK2N
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	6.00822136e-08	204	85	DUSP1,CHMP1B,CHMP4B,H3-3B,MYBL2,MISP,KIF3B,CHMP5,LCMT1,PSMG2,MZT1,PRAP1,ESPL1,H3-5,TPX2,CUL3,HASPIN,CHMP4C,ANAPC5,PPP1CC,KIFC1,SMC2,NUF2,PLK1,NCAPD2,CEP55,SKA3,CDK1,EML4,PDCD6IP,NUSAP1,UHRF1,RACGAP1,SPC25,NDC80,KIF4A,NCAPH,KIF11,VPS4B,BIRC5,KNL1,BUB3,H3-3A,UBE2C,KIF18A,CENPE,RIPOR2,CENPI,CHMP2B,SPC24,HSPA1B,CENPF,CENPA,HSPA1A,CCNB1,CHMP1A,KIF23,KNTC1,BUB1,CDC20,CDT1,DCTN2,MAP10,NEK2,CHAMP1,KAT2B,KIF22,KIF2C,DLGAP5,RB1,TTK,CHMP2A,INCENP,KIF14,PRC1,KNSTRN,AURKB,RAB11A,KATNB1,CHMP6,SKA1,CHEK2,DIS3L2,RAD21,SPAG5
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	5.95809850692e-05	56	36	ASB7,NUF2,SKA3,CDK1,EML4,RACGAP1,SPC25,NDC80,BIRC5,KNL1,BUB3,CDC42,CENPE,ECT2,DSN1,SPC24,CCNB1,KNTC1,CDT1,NEK2,CHAMP1,KAT2B,KIF2C,RB1,INCENP,KNSTRN,AURKB,SKA1,SPAG5,PMF1,BECN1,ZWILCH,RMDN1,ZNF207,SGO1,HNRNPU
GOBP_DOPAMINE_TRANSPORT	GOBP_DOPAMINE_TRANSPORT	0.0008162758522038	29	10	DRD1,SLC18A1,SNCA,NPY2R,SYT11,SNCG,SYT4,SYT1,CXCL12,RAB3B
GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT	GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT	8.32272900635e-05	40	21	HRC,CACNA1C,ASPH,CALM2,PRKACA,PLN,DHRS7C,JPH1,AKAP6,JPH2,RYR3,ATP1A2,GSTM2,CASQ2,DMD,RYR2,ANK2,JPH4,TMEM38A,NOL3,JPH3
GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	0.0003852154371484	22	14	PRAP1,ESPL1,CUL3,ANAPC5,PLK1,SKA3,BIRC5,UBE2C,CDC20,DLGAP5,RB1,INCENP,AURKB,SKA1
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	2.33321507659e-05	86	45	THBS1,F2RL1,PTPRJ,EDN1,PERP,NEDD9,PTK2B,CXCL13,LGALS9,CCL4,CCL5,RAC1,GPSM3,CCL3,RAC2,CCR6,MCU,OXSR1,HMGB1,SLAMF1,CXCL8,SERPINE1,C5AR1,CD74,EDN3,CAMK1D,AIF1,RIPOR2,PLA2G7,MAPK3,CCL19,DAPK2,SPI1,SWAP70,LBP,ADAM10,IL6R,MOSPD2,XCL1,LGMN,C3AR1,S100A14,TMEM102,IL23A,NCKAP1L
GOBP_CELL_DIFFERENTIATION_IN_SPINAL_CORD	GOBP_CELL_DIFFERENTIATION_IN_SPINAL_CORD	0.0004415712191066	32	16	DYNC2H1,NOTCH1,AKT1,TAL1,TCTN1,NKX2-2,GDF7,GATA2,ISL1,SCYL1,DRAXIN,GLI3,LMO4,MDGA1,LONRF2,PHOX2A
GOBP_CHROMOSOME_SEPARATION	GOBP_CHROMOSOME_SEPARATION	2.41661058161e-05	89	40	DUSP1,CSNK2A1,LCMT1,PSMG2,PLSCR1,PRAP1,ESPL1,CUL3,HASPIN,ANAPC5,SMC2,NUF2,PLK1,NCAPD2,SKA3,SPC25,NDC80,NCAPH,BIRC5,KNL1,BUB3,UBE2C,SPC24,CENPF,CCNB1,KNTC1,BUB1,CDC20,CHFR,DLGAP5,RB1,TTK,INCENP,AURKB,SKA1,DIS3L2,RAD21,TRIP13,MAD2L1,NCAPG
GOBP_REGULATION_OF_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	GOBP_REGULATION_OF_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	0.0007297210311982	11	6	PTPRJ,APPL2,PLSCR1,CD226,PTPRC,LYN
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	8.03275624035e-05	46	21	OAS1,LTF,CCL5,PLSCR1,MAVS,OAS3,IFITM1,OAS2,N4BP1,OASL,TNIP1,APOBEC3B,MX1,IFIH1,INPP5K,ZC3HAV1,EIF2AK2,APOBEC3G,SRPK1,BST2,ISG15
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	8.5135610933e-05	69	39	HLA-DRB1,CD3E,SYK,PRKCQ,LGALS9,CD160,RUNX3,SHH,SASH3,EBI3,PTPRC,RASAL3,NFKBIZ,CBFB,RUNX1,IL12RB1,HSPH1,ADA,ZAP70,GPR65,CD83,HLA-DRA,FOXP3,CD86,NLRP3,HLA-A,CD28,CCL19,NFKBID,MALT1,XCL1,ZBTB7B,IL23A,NKAP,NCKAP1L,RIPK2,LILRB4,CD80,AP3B1
GOBP_LEARNING	GOBP_LEARNING	1.4376766785e-06	133	57	PPP1R9B,CNTNAP2,DLG4,DDHD2,MECP2,KIT,TACR2,PPP3CB,SHANK2,TSC1,CLDN5,BRSK1,HTR2A,TAC1,CLSTN2,PLCB1,SYNGAP1,TUBA1A,PLN,AAAS,GRIN2A,FOXP2,TACR1,NRXN3,ARF4,COMT,BCHE,C1QL1,MAP1A,EPM2A,NRXN1,CNTN2,RELN,MEIS2,GRIA1,TANC1,ATP1A2,DRD1,MAPK8IP2,SHANK3,PTN,ADGRB3,PDE8B,NLGN3,JPH4,NDRG4,SYT11,GABRB3,ELAVL4,JPH3,FGF13,SNAP25,B4GALT2,PIANP,RAPGEF3,NLGN4X,ABCC8
