Pathway,FOSB PATHWAY,TGFB PATHWAY,ALK PATHWAY,TOB1 PATHWAY,NKT PATHWAY,THELPER PATHWAY,TCAPOPTOSIS PATHWAY,NO2IL12 PATHWAY,TNFR2 PATHWAY,CD40 PATHWAY,AKT PATHWAY,KERATINOCYTE PATHWAY,CDMAC PATHWAY,PPARA PATHWAY,PPARG PATHWAY,VOBESITY PATHWAY,RECK PATHWAY,PLATELETAPP PATHWAY,AMI PATHWAY,NPP1 PATHWAY,MONOCYTE PATHWAY,LYMPHOCYTE PATHWAY,NEUTROPHIL PATHWAY,RB PATHWAY,CDC25 PATHWAY,GH PATHWAY,IL6 PATHWAY,IL4 PATHWAY,EDG1 PATHWAY,BCELLSURVIVAL PATHWAY,AHSP PATHWAY,EICOSANOID PATHWAY,SLRP PATHWAY,CALCINEURIN PATHWAY,DNAFRAGMENT PATHWAY,PDZS PATHWAY,MTA3 PATHWAY
FOSB PATHWAY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFB PATHWAY,0.0,1.0,0.42105263157894735,0.3684210526315789,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
ALK PATHWAY,0.0,0.21621621621621623,1.0,0.1891891891891892,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOB1 PATHWAY,0.0,0.3684210526315789,0.3684210526315789,1.0,0.3684210526315789,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT PATHWAY,0.0,0.11538461538461539,0.11538461538461539,0.2692307692307692,1.0,0.07692307692307693,0.11538461538461539,0.23076923076923078,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THELPER PATHWAY,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCAPOPTOSIS PATHWAY,0.0,0.0,0.0,0.5555555555555556,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO2IL12 PATHWAY,0.0,0.0,0.0,0.3333333333333333,0.4,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFR2 PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7058823529411765,0.35294117647058826,0.5882352941176471,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD40 PATHWAY,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.8,1.0,0.4,0.4666666666666667,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
