"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","SP3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.333333333333334","1","3","GTEx--Coexpression(rank=585); ARCHS4--Coexpression(rank=926); Enrichr--Queries(rank=1198)","1086","rank=1; score=4.5065; p=3.1151e-05","rank=1; score=4.282; p=5.2239e-05","rank=14; score=2.5534; p=0.010668; direction=Activated"
"2","EPAS1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.666666666666668","3","4","GTEx--Coexpression(rank=86); Enrichr--Queries(rank=133); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=177)","228","rank=3; score=2.0174; p=0.0096063","rank=29; score=0.95801; p=0.11015","rank=21; score=2.4278; p=0.015193; direction=Activated"
"3","PPARG","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.666666666666664","4","5","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=48); GTEx--Coexpression(rank=112); Enrichr--Queries(rank=152); ARCHS4--Coexpression(rank=257)","206","rank=4; score=1.9253; p=0.011876","rank=48; score=0.74895; p=0.17826","rank=55; score=1.9556; p=0.050516; direction=Activated"
"4","ARNT","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.333333333333336","5","5","Literature--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=161); Enrichr--Queries(rank=1024); GTEx--Coexpression(rank=1355); ARCHS4--Coexpression(rank=1386)","798","rank=90; score=0.2831; p=0.52108","rank=5; score=1.6539; p=0.022188","rank=20; score=2.4291; p=0.015136; direction=Activated"
"5","ESR2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.000000000000000","36","5","Literature--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=132); ReMap--ChIP-seq(rank=166); Enrichr--Queries(rank=707); GTEx--Coexpression(rank=839)","335","rank=36; score=0.74476; p=0.17998","rank=50; score=0.70133; p=0.19892","rank=43; score=2.0676; p=0.038679; direction=Activated"
"6","ESR1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.333333333333336","18","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=177); Enrichr--Queries(rank=231); GTEx--Coexpression(rank=497); ARCHS4--Coexpression(rank=1192)","181","rank=51; score=0.56634; p=0.27143","rank=18; score=1.2331; p=0.058464","rank=94; score=1.7845; p=0.074344; direction=Activated"
"7","NR1H3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.666666666666671","16","5","Literature--ChIP-seq(rank=127); ReMap--ChIP-seq(rank=195); Enrichr--Queries(rank=277); GTEx--Coexpression(rank=297); ARCHS4--Coexpression(rank=781)","692","rank=20; score=0.88377; p=0.13069","rank=16; score=1.2466; p=0.056675","rank=128; score=1.6386; p=0.10129; direction=Activated"
"8","CLOCK","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.000000000000000","19","5","Literature--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=79); Enrichr--Queries(rank=1130); ARCHS4--Coexpression(rank=1168); GTEx--Coexpression(rank=1586)","670","rank=19; score=0.91361; p=0.12201","rank=41; score=0.82174; p=0.15075","rank=117; score=1.6671; p=0.095488; direction=Activated"
"9","FLI1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.333333333333329","21","6","Enrichr--Queries(rank=53); ReMap--ChIP-seq(rank=58); ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=328); GTEx--Coexpression(rank=609)","162","rank=21; score=0.85147; p=0.14078","rank=59; score=0.61197; p=0.24436","rank=116; score=1.6708; p=0.094759; direction=Activated"
"10","HIF1A","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","67.666666666666671","46","5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=279); ARCHS4--Coexpression(rank=284); Enrichr--Queries(rank=897)","284","rank=46; score=0.60821; p=0.24648","rank=86; score=0.20685; p=0.62108","rank=71; score=1.8931; p=0.05835; direction=Activated"
