"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","CEBPB","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.00000000000000","1","6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=19); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1006); ARCHS4--Coexpression(rank=1106)","90","rank=6; score=3.464; p=0.00034356","rank=90; score=0.02208","rank=29; score=3.3403; direction=Activated","rank=2; score=404.44; p=1.4748e-06; adjP=0.00013273","rank=1; score=5.8312; p=1.475e-06","rank=34; score=3.0361; p=0.0023965; direction=Activated"
"2","FOSL1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.83333333333334","6","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=102); ARCHS4--Coexpression(rank=135); Enrichr--Queries(rank=143)","66","rank=7; score=3.2508; p=0.00056132","rank=66; score=0.01684","rank=78; score=2.4007; direction=Activated","rank=6; score=714.41; p=7.6125e-06; adjP=0.0025019","rank=7; score=3.433; p=0.00036895","rank=45; score=2.8496; p=0.0043769; direction=Activated"
"3","NFKB1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.16666666666667","4","4","ARCHS4--Coexpression(rank=16); GTEx--Coexpression(rank=52); Enrichr--Queries(rank=220); ReMap--ChIP-seq(rank=224)","36","rank=4; score=3.7129; p=0.00019367","rank=36; score=0.009828","rank=26; score=3.519; direction=Activated","rank=17; score=51.836; p=0.00044883; adjP=0.0067324","rank=8; score=3.3479; p=0.00044884","rank=126; score=2.0029; p=0.045191; direction=Activated"
"4","ATF3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.50000000000000","1","6","ARCHS4--Coexpression(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=5); Enrichr--Queries(rank=13); ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=45)","1","rank=39; score=0.82281; p=0.15038","rank=1; score=0.0006143","rank=158; score=1.4409; direction=Repressed","rank=24; score=303.36; p=5.7567e-05; adjP=0.0048212","rank=10; score=2.9165; p=0.0012119","rank=5; score=4.5646; p=5.0034e-06; direction=Activated"
"5","FOS","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.83333333333333","3","5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=37); Enrichr--Queries(rank=41)","4","rank=5; score=3.6768; p=0.00021049","rank=4; score=0.001245","rank=65; score=2.6301; direction=Activated","rank=9; score=252.21; p=3.5259e-05; adjP=0.0010578","rank=3; score=4.4527; p=3.5261e-05","rank=189; score=1.7251; p=0.08451; direction=Activated"
"6","JUNB","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.33333333333333","9","4","Enrichr--Queries(rank=21); ReMap--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=54)","57","rank=45; score=0.80714; p=0.15591","rank=57; score=0.01496","rank=39; score=3.0564; direction=Activated","rank=22; score=333.1; p=0.0010626; adjP=0.011881","rank=9; score=2.9736; p=0.0010627","rank=112; score=2.0767; p=0.037827; direction=Activated"
"7","PPARG","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.16666666666666","14","5","ReMap--ChIP-seq(rank=4); Literature--ChIP-seq(rank=18); GTEx--Coexpression(rank=22); Enrichr--Queries(rank=303); ARCHS4--Coexpression(rank=308)","50","rank=14; score=2.1046; p=0.0078598","rank=50; score=0.01347","rank=108; score=2.0698; direction=Activated","rank=20; score=16.034; p=0.0062776; adjP=0.11489","rank=66; score=0.71305; p=0.19362","rank=31; score=3.0978; p=0.0019495; direction=Activated"
"8","EGR1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.16666666666666","8","6","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=59); ENCODE--ChIP-seq(rank=66); Literature--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=237)","8","rank=27; score=1.2105; p=0.061592","rank=8; score=0.002457","rank=208; score=0.87533; direction=Activated","rank=56; score=65.821; p=0.0029528; adjP=0.015633","rank=18; score=2.5298; p=0.0029529","rank=20; score=3.3197; p=0.00090124; direction=Activated"
"9","FOSL2","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.16666666666666","3","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=26); Enrichr--Queries(rank=66); GTEx--Coexpression(rank=443); ARCHS4--Coexpression(rank=799)","67","rank=20; score=1.4944; p=0.032036","rank=67; score=0.01695","rank=121; score=1.8982; direction=Activated","rank=3; score=106.53; p=4.1911e-05; adjP=0.0033529","rank=35; score=1.3217; p=0.047673","rank=109; score=2.0941; p=0.036247; direction=Activated"
"10","MYC","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.66666666666667","2","6","GTEx--Coexpression(rank=34); ENCODE--ChIP-seq(rank=44); Literature--ChIP-seq(rank=67); Enrichr--Queries(rank=125); ReMap--ChIP-seq(rank=284); ARCHS4--Coexpression(rank=1116)","86","rank=66; score=0.14337; p=0.71884","rank=86; score=0.02116","rank=2; score=6.181; direction=Repressed","rank=181; score=12.386; p=0.061712; adjP=0.17031","rank=69; score=0.55527; p=0.27844","rank=8; score=4.0265; p=5.6612e-05; direction=Repressed"
