Pathway,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,COIL TARGET GENES,RBM15 TARGET GENES,PIAS4 TARGET GENES,MAML1 TARGET GENES,CENPT TARGET GENES,TERF1 TARGET GENES,TERF2 TARGET GENES,MAPK3 TARGET GENES,MAP2K1 TARGET GENES,ZBED4 TARGET GENES,HSF2 TARGET GENES,MIER1 TARGET GENES,"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",DLX2 TARGET GENES,LMX1B TARGET GENES,ATF5 TARGET GENES,EMX1 TARGET GENES,NR0B1 TARGET GENES,CHAF1A TARGET GENES,BRF2 TARGET GENES,CDC5L TARGET GENES,F10 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",MCRS1 TARGET GENES,ZNF416 TARGET GENES,ZNF785 TARGET GENES,ZZZ3 TARGET GENES,ELF5 TARGET GENES,ZNF837 TARGET GENES,ZNF211 TARGET GENES,ZNF214 TARGET GENES,TFAM TARGET GENES,FOXO4 TARGET GENES,SKP2 TARGET GENES
PSMB5 TARGET GENES,1.0,0.3054662379421222,0.006430868167202572,0.1189710610932476,0.02572347266881029,0.00964630225080386,0.02572347266881029,0.00964630225080386,0.0,0.07395498392282958,0.01607717041800643,0.04501607717041801,0.03858520900321544,0.012861736334405145,0.03215434083601286,0.02572347266881029,0.003215434083601286,0.08681672025723473,0.03858520900321544,0.06109324758842444,0.01607717041800643,0.0,0.03536977491961415,0.012861736334405145,0.006430868167202572,0.003215434083601286,0.0,0.0,0.05466237942122187,0.02572347266881029,0.006430868167202572,0.0,0.0,0.0,0.02572347266881029,0.003215434083601286
GTF2E2 TARGET GENES,0.2278177458033573,1.0,0.009592326139088728,0.05995203836930456,0.019184652278177457,0.019184652278177457,0.014388489208633094,0.014388489208633094,0.0,0.03597122302158273,0.004796163069544364,0.02877697841726619,0.019184652278177457,0.019184652278177457,0.019184652278177457,0.023980815347721823,0.002398081534772182,0.07673860911270983,0.03597122302158273,0.05275779376498801,0.009592326139088728,0.004796163069544364,0.17026378896882494,0.03836930455635491,0.02158273381294964,0.007194244604316547,0.0,0.002398081534772182,0.045563549160671464,0.05995203836930456,0.002398081534772182,0.0,0.0,0.0,0.047961630695443645,0.002398081534772182
COIL TARGET GENES,0.25,0.5,1.0,0.125,0.25,0.0,0.25,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.0,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
RBM15 TARGET GENES,0.18686868686868688,0.12626262626262627,0.005050505050505051,1.0,0.020202020202020204,0.010101010101010102,0.020202020202020204,0.005050505050505051,0.0,0.06565656565656566,0.010101010101010102,0.03535353535353535,0.025252525252525252,0.045454545454545456,0.020202020202020204,0.015151515151515152,0.0,0.04040404040404041,0.020202020202020204,0.06060606060606061,0.030303030303030304,0.0,0.03535353535353535,0.010101010101010102,0.03535353535353535,0.005050505050505051,0.0,0.0,0.050505050505050504,0.030303030303030304,0.0,0.0,0.0,0.0,0.015151515151515152,0.005050505050505051
PIAS4 TARGET GENES,0.1038961038961039,0.1038961038961039,0.025974025974025976,0.05194805194805195,1.0,0.025974025974025976,0.05194805194805195,0.012987012987012988,0.0,0.03896103896103896,0.0,0.03896103896103896,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.05194805194805195,0.0,0.03896103896103896,0.03896103896103896,0.025974025974025976,0.0,0.012987012987012988,0.025974025974025976,0.0,0.0,0.012987012987012988,0.0,0.012987012987012988,0.0,0.05194805194805195,0.0,0.0,0.0,0.0,0.03896103896103896,0.0
MAML1 TARGET GENES,0.009230769230769232,0.024615384615384615,0.0,0.006153846153846154,0.006153846153846154,1.0,0.027692307692307693,0.07076923076923076,0.03076923076923077,0.009230769230769232,0.0,0.018461538461538463,0.006153846153846154,0.006153846153846154,0.003076923076923077,0.018461538461538463,0.0,0.009230769230769232,0.018461538461538463,0.033846153846153845,0.012307692307692308,0.0,0.015384615384615385,0.015384615384615385,0.024615384615384615,0.006153846153846154,0.0,0.0,0.033846153846153845,0.021538461538461538,0.0,0.0,0.009230769230769232,0.009230769230769232,0.012307692307692308,0.0
CENPT TARGET GENES,0.09523809523809523,0.07142857142857142,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.10714285714285714,1.0,0.07142857142857142,0.023809523809523808,0.011904761904761904,0.0,0.011904761904761904,0.03571428571428571,0.023809523809523808,0.0,0.07142857142857142,0.0,0.11904761904761904,0.011904761904761904,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.023809523809523808,0.011904761904761904,0.0,0.011904761904761904,0.07142857142857142,0.023809523809523808,0.0,0.0,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.0
TERF1 TARGET GENES,0.010033444816053512,0.020066889632107024,0.0,0.0033444816053511705,0.0033444816053511705,0.07692307692307693,0.020066889632107024,1.0,0.15719063545150502,0.0033444816053511705,0.0,0.010033444816053512,0.0033444816053511705,0.016722408026755852,0.010033444816053512,0.03678929765886288,0.0,0.043478260869565216,0.020066889632107024,0.026755852842809364,0.0,0.0,0.020066889632107024,0.023411371237458192,0.010033444816053512,0.0,0.0,0.0,0.016722408026755852,0.030100334448160536,0.0,0.0,0.0,0.0,0.020066889632107024,0.0
TERF2 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.07092198581560284,0.014184397163120567,0.3333333333333333,1.0,0.0070921985815602835,0.0,0.02127659574468085,0.0070921985815602835,0.014184397163120567,0.0070921985815602835,0.0425531914893617,0.0,0.03546099290780142,0.03546099290780142,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085,0.03546099290780142,0.0,0.0,0.0,0.0,0.03546099290780142,0.0,0.0,0.0070921985815602835,0.0,0.03546099290780142,0.0
MAPK3 TARGET GENES,0.21296296296296297,0.1388888888888889,0.009259259259259259,0.12037037037037036,0.027777777777777776,0.027777777777777776,0.009259259259259259,0.009259259259259259,0.009259259259259259,1.0,0.06481481481481481,0.07407407407407407,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.018518518518518517,0.009259259259259259,0.05555555555555555,0.046296296296296294,0.12037037037037036,0.009259259259259259,0.009259259259259259,0.046296296296296294,0.009259259259259259,0.027777777777777776,0.0,0.0,0.0,0.05555555555555555,0.07407407407407407,0.009259259259259259,0.0,0.009259259259259259,0.0,0.046296296296296294,0.0
