"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","VDR","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.33333333333333","9","5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","rank=9; score=3.0524; p=0.00088626","rank=10; score=3.0062; p=0.00098587","rank=12; score=3.8337; p=0.00012625; direction=Activated"
"2","SP3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.66666666666667","1","3","GTEx--Coexpression(rank=638); Enrichr--Queries(rank=1173); ARCHS4--Coexpression(rank=1230)","1099","rank=2; score=4.9395; p=1.1495e-05","rank=1; score=5.1263; p=7.4771e-06","rank=38; score=3.197; p=0.0013885; direction=Activated"
"3","IRF9","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.33333333333333","13","4","Enrichr--Queries(rank=5); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=279); GTEx--Coexpression(rank=385)","14","rank=13; score=2.9237; p=0.0011921","rank=36; score=2.0585; p=0.0087395","rank=33; score=3.3172; p=0.00090929; direction=Activated"
"4","PPARG","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.00000000000000","2","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=25); Enrichr--Queries(rank=49); GTEx--Coexpression(rank=107)","41","rank=51; score=1.4078; p=0.039102","rank=34; score=2.1399; p=0.0072466","rank=2; score=5.3405; p=9.2686e-08; direction=Activated"
"5","SMAD4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.00000000000000","18","5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=43); Enrichr--Queries(rank=1227); ARCHS4--Coexpression(rank=1407); GTEx--Coexpression(rank=1446)","449","rank=27; score=1.8882; p=0.012935","rank=42; score=1.9335; p=0.011654","rank=18; score=3.7021; p=0.00021381; direction=Activated"
"6","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.33333333333334","8","6","ENCODE--ChIP-seq(rank=111); Literature--ChIP-seq(rank=132); ReMap--ChIP-seq(rank=211); Enrichr--Queries(rank=1273); GTEx--Coexpression(rank=1427); ARCHS4--Coexpression(rank=1463)","1519","rank=12; score=2.9926; p=0.0010171","rank=8; score=3.0788; p=0.00083398","rank=68; score=2.896; p=0.003779; direction=Activated"
"7","STAT1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.33333333333334","9","6","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=52); Literature--ChIP-seq(rank=131); Enrichr--Queries(rank=215); GTEx--Coexpression(rank=1003)","126","rank=11; score=3.0015; p=0.00099658","rank=9; score=3.0495; p=0.00089238","rank=92; score=2.6179; p=0.008848; direction=Activated"
"8","STAT3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.33333333333334","12","6","ENCODE--ChIP-seq(rank=17); Literature--ChIP-seq(rank=43); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=397); Enrichr--Queries(rank=662); GTEx--Coexpression(rank=1017)","491","rank=25; score=1.9117; p=0.012254","rank=12; score=2.9007; p=0.001257","rank=87; score=2.6612; p=0.0077854; direction=Activated"
"9","ETV4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.66666666666666","11","4","ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=204); Enrichr--Queries(rank=256); GTEx--Coexpression(rank=1370)","439","rank=47; score=1.5212; p=0.030117","rank=67; score=1.2151; p=0.060945","rank=11; score=3.9113; p=9.1807e-05; direction=Activated"
"10","STAT2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.33333333333334","36","5","ENCODE--ChIP-seq(rank=4); Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=40); ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=1575)","86","rank=49; score=1.4631; p=0.034425","rank=45; score=1.7811; p=0.016554","rank=36; score=3.2344; p=0.0012191; direction=Activated"
