"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.333333333333333","1","4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=103); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1003)","276","rank=1; score=3.9923; p=0.00010179","rank=2; score=3.3016; p=0.00049933","rank=4; score=2.8976; p=1.7206e-07; direction=Activated"
"2","FOSL1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.333333333333332","4","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=11); Enrichr--Queries(rank=404); ARCHS4--Coexpression(rank=1082); GTEx--Coexpression(rank=1124)","14","rank=4; score=1.9828; p=0.010403","rank=7; score=2.0696; p=0.0085193","rank=41; score=1.8339; p=0.0010321; direction=Activated"
"3","PAX5","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.333333333333332","14","5","ENCODE--ChIP-seq(rank=48); Enrichr--Queries(rank=156); ReMap--ChIP-seq(rank=248); ARCHS4--Coexpression(rank=634); GTEx--Coexpression(rank=679)","423","rank=22; score=1.2924; p=0.050999","rank=14; score=1.704; p=0.019771","rank=34; score=2.122; p=0.00074804; direction=Activated"
"4","ATF3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.666666666666668","6","6","Enrichr--Queries(rank=55); ReMap--ChIP-seq(rank=59); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=85); GTEx--Coexpression(rank=1012)","177","rank=43; score=0; p=1","rank=40; score=0; p=1","rank=6; score=3.4731; p=4.3798e-07; direction=Activated"
"5","ATF2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.000000000000000","10","5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=230); GTEx--Coexpression(rank=475); ARCHS4--Coexpression(rank=1085); Enrichr--Queries(rank=1128)","968","rank=10; score=1.6466; p=0.022565","rank=15; score=1.5232; p=0.029979","rank=74; score=1.875; p=0.0048858; direction=Activated"
"6","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.333333333333336","15","6","ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=249); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=649); Enrichr--Queries(rank=1144)","1181","rank=15; score=1.4281; p=0.037315","rank=69; score=0; p=1","rank=19; score=2.8861; p=8.1645e-05; direction=Repressed"
"7","NFKB1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.000000000000000","29","4","ReMap--ChIP-seq(rank=244); ARCHS4--Coexpression(rank=245); GTEx--Coexpression(rank=725); Enrichr--Queries(rank=765)","532","rank=33; score=0.83899; p=0.14488","rank=29; score=0.59882; p=0.25187","rank=49; score=1.6274; p=0.0018546; direction=Activated"
"8","TP53","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.333333333333336","11","5","Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=590); Enrichr--Queries(rank=920); GTEx--Coexpression(rank=1085)","385","rank=11; score=1.6422; p=0.022793","rank=28; score=0.83899; p=0.14488","rank=73; score=1.7861; p=0.0048035; direction=Activated"
"9","FOS","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.666666666666671","2","5","GTEx--Coexpression(rank=11); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=48); ReMap--ChIP-seq(rank=48); Enrichr--Queries(rank=173)","32","rank=2; score=2.487; p=0.003258","rank=20; score=1.2773; p=0.052806","rank=115; score=1.6728; p=0.013033; direction=Activated"
"10","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.333333333333336","1","6","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=275); Enrichr--Queries(rank=1069); GTEx--Coexpression(rank=1419)","595","rank=67; score=0; p=1","rank=71; score=0; p=1","rank=1; score=7.3903; p=2.3575e-28; direction=Repressed"
