"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.000000000000000","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","rank=1; score=20.742; p=1.8133e-21","rank=1; score=7.2723; direction=Repressed","rank=1; score=7.244; p=4.3559e-13; direction=Repressed"
"2","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.666666666666666","2","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","rank=2; score=8.7711; p=1.6939e-09","rank=15; score=3.3689; direction=Repressed","rank=3; score=4.8012; p=1.5771e-06; direction=Repressed"
"3","CDX2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.000000000000000","10","5","ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=66); GTEx--Coexpression(rank=99); Enrichr--Queries(rank=1115)","154","rank=15; score=1.8447; p=0.014298","rank=10; score=3.7919; direction=Activated","rank=14; score=2.7927; p=0.0052278; direction=Activated"
"4","PPARA","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.000000000000000","22","3","ARCHS4--Coexpression(rank=569); Enrichr--Queries(rank=635); GTEx--Coexpression(rank=1328)","1103","rank=22; score=1.4588; p=0.034769","rank=36; score=2.6486; direction=Activated","rank=35; score=2.4785; p=0.013194; direction=Activated"
"5","HNF1B","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","36.666666666666664","6","3","ReMap--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=583); Enrichr--Queries(rank=681)","1106","rank=67; score=0.70468; p=0.19739","rank=6; score=3.953; direction=Activated","rank=37; score=2.4623; p=0.013805; direction=Activated"
"6","ZBTB33","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","38.000000000000000","8","5","ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=168); GTEx--Coexpression(rank=321); ARCHS4--Coexpression(rank=1047); Enrichr--Queries(rank=1130)","705","rank=53; score=0.8252; p=0.14956","rank=8; score=3.8152; direction=Repressed","rank=53; score=2.3055; p=0.021136; direction=Activated"
"7","HNF1A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.666666666666664","2","3","ARCHS4--Coexpression(rank=272); GTEx--Coexpression(rank=406); Enrichr--Queries(rank=638)","602","rank=68; score=0.69491; p=0.20188","rank=55; score=2.3144; direction=Activated","rank=2; score=5.0259; p=5.0103e-07; direction=Activated"
"8","NFYA","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.333333333333336","5","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=13); GTEx--Coexpression(rank=112); ARCHS4--Coexpression(rank=512); Enrichr--Queries(rank=524)","126","rank=107; score=0.34887; p=0.44784","rank=24; score=3.0079; direction=Repressed","rank=5; score=3.7874; p=0.00015224; direction=Repressed"
"9","IRF9","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.000000000000000","20","4","ARCHS4--Coexpression(rank=226); GTEx--Coexpression(rank=256); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=343)","520","rank=20; score=1.5464; p=0.028416","rank=137; score=1.1663; direction=Activated","rank=20; score=2.5547; p=0.010629; direction=Activated"
"10","USF2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","59.666666666666664","27","5","ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=52); Enrichr--Queries(rank=1085); GTEx--Coexpression(rank=1297); ARCHS4--Coexpression(rank=1317)","627","rank=27; score=1.1837; p=0.065511","rank=83; score=1.8746; direction=Activated","rank=69; score=2.0366; p=0.041688; direction=Activated"
